Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Nepal - Climate and Health Vulnerability Assessment,2024,,"Washington, DC: World Bank",https://doi.org/10.1596/41845,,4,5/24/2025 11:45,book,10.1596/41845,,,,,,,0,0.0,0,0,1,"Nepals diverse geoclimatic system makes it vulnerable to a myriad of climatic-related events. The combination of variable torrential rainfall patterns and heavy monsoons, both extreme heat and cold, along with steep terrain, increase the risks of floods including Glacial Lake Outburst Floods (GLOFS), landslides, droughts, and waterborne diseases (WBDs). Nepals communities are particularly vulnerable to climate change, as they are already hampered by poverty, being located in remote areas and operating on subsistence agriculture. Given Nepals high exposure and vulnerability to climate change, the World Bank, through the Health Climate and Environment Program (HCEP), is conducting a Climate and Health Vulnerability Assessment (CHVA) in Nepal. The objective of this CHVA is to assist decision-makers with planning effective adaptation measures to deal with climate-related health risks. Where available, these measures are provided at a subnational level to assist regional health planners. The recommendations of this CHVA are primarily targeted at the health sector and related sectors that influence health risks from climate changes, such as disaster risk management (DRM).",,,SDG 13: Climate Action
1,,Nepal Country Climate and Development Report,2022,,"World Bank, Washington, DC",https://doi.org/10.1596/38012,,6,5/24/2025 11:45,book,10.1596/38012,,,,,,,1,0.33,0,0,3,"This Country Climate and Development Report (CCDR) identifies ways that Nepal can achieve its overall development objectives while fostering its strategic ambition to transition to a greener, more resilient, and inclusive development pathway. This report is organized as follows: Chapter 1 captures the current situation in the country with respect to climate impacts and risks, emission sources, and opportunities for integrated climate change adaptation and mitigation. Chapter 2 describes the governments response, through sectoral and economywide commitments, laws, and regulations. Chapter 3 assesses the impacts of climate change on the macroeconomy and road transport systems, given their critical role to connectivity. It also analyzes the links between climate change and air pollution, poverty, health, social inclusion, and community resilience. Chapter 4 presents pathways to transition to resilience, looking at integrated management of landscape systems comprising water, agriculture, and forests as well as strengthening climate and disaster risk management governance. Chapter 5 analyzes pathways to transition to decarbonization, primarily the potential for hydropower expansion domestically and in the region. It also looks at transport and urban opportunities to reduce emissions while enhancing resilience and adaptation co-benefits. Chapter 6 discusses how to scale up financing for resilience, hydropower, and other opportunities, given the limitations of the countrys fiscal space. Chapter 7 presents a prioritization framework for the most transformational climate action with seven policy packagesone for each priority transition and each key enablerthat contain specific recommendations for how to move from analysis to action.",,,SDG 13: Climate Action
0,,"World - Climate Services Operational Pathways: Pathways for Transforming Weather, Water, and Climate Services in Nepal",2021,,"Washington, DC",https://doi.org/10.1596/37581,,9,5/24/2025 11:45,book,10.1596/37581,,,,,,,0,0.0,0,0,4,"This study was commissioned by climate investment funds (CIFs) E and L initiative to distill lessons from CIFs pilot program on climate resilience (PPCR) support identifying, designing, and implementing hydrometeorological and climate services investments. It seeks to generate learning and strategic insight into the different operational pathways that can be taken by national hydrological and meteorological agencies to develop, deliver, and strengthen hydrometeorological and climate services. The outputs from the study comprise of one synthesis report and three country studies for Jamaica, Mozambique, and Nepal. These three countries have been selected for the study due to their different institutional frameworks, hydrometeorological systems, and socio-economic context. They provide diverse in-depth insights in hydrometeorological and climate service development, delivery, and use. In this respect, the PPCR-supported Building Resilience to Climate-Related Hazards (BRCH) Project was selected as a case study project for Nepal to elucidate lessons learned on the process for modernizing hydrometeorological systems and developing climate services to users. It offers insight into challenges and opportunities for climate services development, delivery, and use in the South Asian developing countries. Qualitative methods, including structured interviews and literature review, were used to identify promising pathways to transform weather, water, and climate services in the three case study countries. In Nepal, the analysis of the data collected revealed five themes regarding critical pathways to continue to transform weather, water, and climate services in the country. These are: improving data resources, improving service design and delivery, improving hydrometeorological services through feedback and evaluation, fostering human resources capacity, and strengthening institutional arrangements. The report summarizes key findings and recommendations.",,,SDG 13: Climate Action
0,,From Nepal to the UK: Gen Z fights for climate education,2022,OECD Podcasts,OECD,https://doi.org/10.1787/a0075b97-en,,18,5/24/2025 11:45,dataset,10.1787/a0075b97-en,,,,,,,0,0.0,0,0,3,,,,SDG 13: Climate Action
0,,"Building Climate Resilient Value Chains in the Kailash Sacred Landscape, Nepal, 26-27 May 2016",2016,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.836,,48,5/24/2025 11:45,report,10.53055/icimod.836,,,,,,,0,0.0,0,0,9,,,,SDG 13: Climate Action
0,,"Estimating the impact of climate change on streamflow in Bagmati Watershed, Nepal",2015,2015 ASABE International Meeting,American Society of Agricultural and Biological Engineers,https://doi.org/10.13031/aim.20152190836,,58,5/24/2025 11:45,proceedings-article,10.13031/aim.20152190836,,,,,,,0,0.0,0,0,10,"<abstract> <b>Abstract.</b> Observations show that the level of atmospheric greenhouse gas (GHG) has been increasing since the mid 19<sup>th</sup> century. The Intergovernmental Panel on Climate Change (IPCC) estimated an increase of global GHG emissions by 25 to 90% between 2000 and 2030. As per IPCC estimate, the global average surface temperature will increase between 1.8 to 4.0Â°C and precipitation will increase by 5 to 20% over the period of 1990 to 2100. Understanding potential hydrologic influences to projected climate change is important for management of water resources. This study estimates the climate change impacts on hydrologic processes of Bagmati watershed in Nepal using the Soil and Water Assessment Tool (SWAT). Past climate data were obtained from Department of Hydrology and Meteorology. Digital Elevation model (DEM) and Soil data were obtained from free online server. The performance of the model was found to be good, both during the calibration and validation period. The performance statistics were better for monthly stream-flow as compared to the daily stream-flow. In order to study the impact of climate change, the outputs (i.e., temperature and precipitation) from global climate models (GCMs) are used to drive SWAT model. The GCM used in this study is from IPCC Fifth Assessment report. This study will demonstrate that the temporal differences in hydrologic responses to future climate changes in Bagmati watershed, Nepal. Uncertainty remains regarding the future hydrologic changes due to the uncertainty of future climate changes, especially precipitation patterns, the future dynamics of vegetation and land use, and partly due to the SWAT model processes uncertainty.",http://elibrary.asabe.org/azdez.asp?JID=5&AID=45991&t=2&v=&i=&CID=norl2015&redir=aid=45991&redir=%5Bconfid=norl2015%5D&redirType=&downPDF=Y,,SDG 13: Climate Action
0,,Effect of Climate Change on Nepal and Its Policy,2024,Hong Kong Journal of Social Sciences,Science Press,https://doi.org/10.55463/hkjss.issn.1021-3619.63.14,,87,5/24/2025 11:45,journal-article,10.55463/hkjss.issn.1021-3619.63.14,1021-3619,,,63.0,,,0,0.0,0,0,1,,,,SDG 13: Climate Action
0,,"Intensive Rice-Based Systems in Bangladesh, Cambodia, and Nepal:",2019,,Asian Development Bank,https://doi.org/10.22617/tcs190468-2,,90,5/24/2025 11:45,report,10.22617/tcs190468-2,,,,,,,0,0.0,0,0,6,"Rice is a staple crop in many countries in Asia, providing food, nutrition, and income to millions of resource-poor farmers.It is one of the top priority commodities in the agricultural development agenda in many Asian countries.However, dwindling agricultural resources, rising wages due to declining farm workers, competing use of waters, and climate change are emerging as the main problems to rice production in Asia.The Food Security Forum held in ADB Headquarters in 2016 identified these problems as the main hurdles to achieving Sustainable Development Goal 2 of ending hunger and malnutrition in Asia and the Pacific.Against this backdrop, the Asian Development Bank (ADB) partnered with the International Rice Research Institute (IRRI) and selected national research organizations to deliver knowledge solutions to these problems.Water-and labor-saving technologies, alternating wetting and drying (AWD) in Bangladesh, and direct-seeded rice (DSR) in Cambodia and Nepal were field-experimented in rice cultivation under this project.Vegetables were cultivated in between two rice seasons in all countries.This report presents the benefits of these technologies, and policy recommendations to mainstream their use.The findings of the field experiment show that AWD and DSR, combined with better rice varieties and mechanization, can make rice production more profitable and sustainable even in the face of drought or flooding.The evidenced-based recommendations documented in this report offer viable solutions to the production of rice and accomplishment of food security in Asia.The proposed solutions act as a guidepost to scale up the use of resource-saving, climate-smart agricultural technologies and to make farming profitable in the region.This report is the output of a partnership between ADB and IRRI.It brings together ADB 's knowledge and experience in agriculture and the natural resources sector, and IRRl's globally recognized expertise in advancing rice cultivation and protecting the rice-growing environment for future generations.This report is aligned with ADB's Strategy 2030, which aims to make Asia and the Pacific food-secure, free of malnutrition, and prosperous.This publication also responds to ADB's operational priority of promoting rural development and food security.We are confident that this report will become a key resource for policymakers of developing member countries of ADB in undertaking evidence-based actions to promote sustainable rice production.",,,SDG 13: Climate Action
0,,Community Forest User Groups in Nepal,2021,Surviving Climate Chaos,Cambridge University Press,https://doi.org/10.1017/9781108878982.009,,91,5/24/2025 11:45,book-chapter,10.1017/9781108878982.009,,,,,111.0,127.0,0,0.0,0,0,4,"The peoples of Nepal have long sought to free themselves from fatalism, in striving against feudal systems and entitlement myths that disable hope and resist purpose. Many things influenced this process, including a 25-year partnership with Denmark and its aid agency Danida, which offered steady encouragement through some critical moments. Of key importance were Danida's efforts to promote community-based forest management in the mid-hills districts, by enabling the legal establishment of Community Forest User Groups and training Nepalese foresters in how to help those groups take charge of their own biophysical resources. These community forestry arrangements had the unplanned effect of maintaining traditions of participatory democracy during a protracted civil emergency, and when peace was restored they decisively shaped the emerging national constitution. Danida may not have fully appreciated its contribution and it left the forest sector prematurely, but Nepal is now in a much stronger position than before to resist climate chaos, with a viable democratic constitution, large areas of regenerating forests and a more confident population.",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9DBDACD6E0732A5A35C67985FDC21850,,SDG 13: Climate Action
0,,"Peer Review #2 of ""Identifying and prioritising climate change adaptation actions for greater one-horned rhinoceros (Rhinoceros unicornis) conservation in Nepal (v0.1)""",2022,,PeerJ,https://doi.org/10.7287/peerj.12795v0.1/reviews/2,,139,5/24/2025 11:45,peer-review,10.7287/peerj.12795v0.1/reviews/2,,,,,,,0,0.0,0,0,3,"Climate change has started impacting species, ecosystems, genetic diversity within species, and ecological interactions and is thus a serious threat to conserving biodiversity globally.In the absence of adequate adaptation measures, biodiversity may continue to decline, and many species will possibly become extinct.Given that global temperature continues to increase, climate change adaptation has emerged as an overarching framework for conservation planning.We identified both ongoing and probable climate change adaptation actions for greater one-horned rhinoceros conservation in Nepal through a combination of literature review, key informant surveys (n=53), focus group discussions (n=37) and expert consultation (n=9), and prioritised the identified adaptation actions through stakeholder consultation (n=17).The majority of key informants (>80%) reported that climate change has been impacting rhinoceros, and more than 65% of them believe that rhinoceros habitat suitability in Nepal has been shifting westwards.Despite these perceived risks, climate change impacts have not been incorporated well into formal conservation planning for rhinoceros.Out of 20 identified adaptation actions under nine adaptation strategies, identifying and protecting climate refugia, restoring the existing habitats through wetland and grassland management, creating artificial highlands in floodplains to provide rhinoceros with refuge during severe floods, and translocating them to other suitable habitats received higher priority.These adaptation actions may contribute to reducing the vulnerability of rhinoceros to the likely impacts of climate change.This study is the first of its kind in Nepal and is expected to provide a guideline to align ongoing conservation measures into climate change adaptation planning for rhinoceros.Further, we emphasise the need to integrating likely climate change impacts",,,SDG 13: Climate Action
