Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Economy Profile of Nepal,2017,,"World Bank, Washington, DC",https://doi.org/10.1596/28764,,1,2025-05-24 11:30:26,book,10.1596/28764,,,,,,,0,0.0,0,0,8,,,,SDG 8: Decent Work and Economic Growth
1,,Economy Profile of Nepal,2018,,"World Bank, Washington, DC",https://doi.org/10.1596/30809,,2,2025-05-24 11:30:26,book,10.1596/30809,,,,,,,1,0.14,0,0,7,"Sixteenth in a series of annual reports comparing business regulation in 190 economies, Doing Business 2019 covers 11 areas of business regulation. Ten of these areas - starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency - are included in the ease of doing business score and ease of doing business ranking. Doing Business also measures features of labor market regulation, which is not included in these two measures. Doing Business provides objective measures of business regulations and their enforcement across 190 economies and selected cities at the subnational and regional level. This economy profile presents indicators for Nepal; for 2019 Nepal ranks 110.",,,SDG 8: Decent Work and Economic Growth
0,,Economy Profile of Nepal,2019,,"World Bank, Washington, DC",https://doi.org/10.1596/32947,,4,2025-05-24 11:30:26,book,10.1596/32947,,,,,,,0,0.0,0,0,6,"Doing business 2020 is the 17th in a series of annual studies investigating the regulations that enhance business activity and those that constrain it. Doing business presents quantitative indicators on business regulations and the protection of property rights that can be compared across 190 economies - from Afghanistan to Zimbabwe - and over time. Regulations affecting 12 areas of the life of a business are covered: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts, resolving insolvency, employing workers, and contracting with the government. The employing workers and contracting with the government indicator sets are not included in this year's ranking on the ease of doing business. Data in doing business 2020 are current as of May 1, 2019. The indicators are used to analyze economic outcomes and identify what reforms of business regulation have worked, where, and why. This economy profile presents indicators for Nepal; for 2020, Nepal ranks 94.",,,SDG 8: Decent Work and Economic Growth
0,,Doing Business Economy Profile 2017: Nepal,2016,,"World Bank, Washington, DC",https://doi.org/10.1596/25589,,6,2025-05-24 11:30:26,book,10.1596/25589,,,,,,,0,0.0,0,0,9,,,,SDG 8: Decent Work and Economic Growth
0,,Doing Business Economy Profile 2016: Nepal,2015,,"World Bank, Washington, DC",https://doi.org/10.1596/23371,,7,2025-05-24 11:30:26,book,10.1596/23371,,,,,,,0,0.0,0,0,10,,,,SDG 8: Decent Work and Economic Growth
0,,"Nepal Development Update, April 2024: Nepal’s Economy on a Recovery Path but Private Investment Remains Low",2024,,"Washington, DC: World Bank",https://doi.org/10.1596/41336,,35,2025-05-24 11:30:26,book,10.1596/41336,,,,,,,0,0.0,0,0,1,,,,SDG 8: Decent Work and Economic Growth
1,,Remittances and the economy of Nepal: The impact on emigration,2019,ASERC Journal of Socio-Economic Studies,Global Cooperation and Analytical Research Center Public Union,https://doi.org/10.30546/2663-7251.2.2.107,,51,2025-05-24 11:30:26,journal-article,10.30546/2663-7251.2.2.107,2663-7251,,,,,,1,0.17,0,0,6,"For a small landlocked economy, Nepal is the nineteenth largest remittance receiver in the world.With the growing remittance income, Nepal is progressing in its economic and social and demographic aspects, however, this phenomenon might have adverse effects on the country's economy and its development.With an increase in remittances, Nepal has been able to reduce its poverty with its illiteracy rate along with the living condition.Despite such progress, Nepal is in the verge of suffering from too much dependency in its remittances where the economy is unable to export but import substantial number of commodities.In addition, brain drain, lack of labour supply, threat to the food security, increase in conspicuous consumption patterns (drinking and partying), inability to develop a culture of saving and a sharp increase in the prices of domestic products can damage Nepal's economy in the long run.These factors can further effect Nepalese intentions to emigrate directly.This study will try to proclaim the good and the bad impacts of remittances in the case of Nepal.",,,SDG 8: Decent Work and Economic Growth
0,,1.1 Nepali Labor Migration in the Global Economy,2022,Becoming a Migrant Worker in Nepal,transcript Verlag,https://doi.org/10.1515/9783839462126-005,,59,2025-05-24 11:30:26,book-chapter,10.1515/9783839462126-005,,,,,15.0,17.0,0,0.0,0,0,3,,https://www.degruyter.com/document/doi/10.1515/9783839462126-005/xml,,SDG 8: Decent Work and Economic Growth
0,,Nepal – Western Nepal earthquake: Urgent call for assistance,2024,,FAO,https://doi.org/10.4060/cd0519en,,121,2025-05-24 11:30:26,report,10.4060/cd0519en,,,,,,,0,0.0,0,0,1,,,,SDG 8: Decent Work and Economic Growth
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,193,2025-05-24 11:30:26,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,SDG 8: Decent Work and Economic Growth
0,,INTRODUCTION TO NEPAL,2022,Plant-Based Himalaya,Red Lightning Books,https://doi.org/10.2307/j.ctv27tcv11.4,,203,2025-05-24 11:30:26,book-chapter,10.2307/j.ctv27tcv11.4,,,,,1.0,20.0,0,0.0,0,0,3,,,,SDG 8: Decent Work and Economic Growth
0,,Deaf in a “New Nepal”,2016,Signing and Belonging in Nepal,Gallaudet University Press,https://doi.org/10.2307/j.ctv2rh2bgf.10,,214,2025-05-24 11:30:26,book-chapter,10.2307/j.ctv2rh2bgf.10,,,,,109.0,116.0,0,0.0,0,0,9,,,,SDG 8: Decent Work and Economic Growth
0,,Nepal Development Update: International Migration and Well-being in Nepal,2024,,"Washington, DC: World Bank",https://doi.org/10.1596/42340,,235,2025-05-24 11:30:26,book,10.1596/42340,,,,,,,0,0.0,0,0,1,,,,SDG 8: Decent Work and Economic Growth
0,,Nepal and the Pax Britannica,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.10,,267,2025-05-24 11:30:26,book-chapter,10.2307/jj.2430549.10,,,,,151.0,174.0,0,0.0,0,0,2,,,,SDG 8: Decent Work and Economic Growth
0,,Nepal,2019,The Statesman’s Yearbook Companion,Palgrave Macmillan UK,https://doi.org/10.1057/978-1-349-95839-9_1439,,287,2025-05-24 11:30:26,book-chapter,10.1057/978-1-349-95839-9_1439,,,,,747.0,748.0,0,0.0,0,0,6,,http://link.springer.com/content/pdf/10.1057/978-1-349-95839-9_1439,,SDG 8: Decent Work and Economic Growth
0,,Parthenium weed - Nepal.,2019,PlantwisePlus Knowledge Bank,CABI Publishing,https://doi.org/10.1079/pwkb.20197800521,,299,2025-05-24 11:30:26,dataset,10.1079/pwkb.20197800521,,,,,,,0,0.0,0,0,6,,,,SDG 8: Decent Work and Economic Growth
