Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Social structure of Nepal,2016,Social Transformation in Post-conflict Nepal,Routledge,https://doi.org/10.4324/9781315666037-3,,1,2025-05-24 11:10:41,book-chapter,10.4324/9781315666037-3,,,,,35.0,59.0,0,0.0,0,0,9,,,,SDG 5: Gender Equality
0,,"1. Intersections: Gender, Class, and Caste in Nepal",2020,Planning Families in Nepal,Rutgers University Press,https://doi.org/10.36019/9780813578644-004,,3,2025-05-24 11:10:41,book-chapter,10.36019/9780813578644-004,,,,,17.0,40.0,0,0.0,0,0,5,,https://www.degruyter.com/view/book/9780813578644/10.36019/9780813578644-004.xml,,SDG 5: Gender Equality
0,,"Gender, post-trafficking and citizenship in Nepal",2015,The Routledge Handbook of Gender and Development,Routledge,https://doi.org/10.4324/9780203383117-46,,4,2025-05-24 11:10:41,book-chapter,10.4324/9780203383117-46,,,,,343.0,353.0,0,0.0,0,0,10,,,,SDG 5: Gender Equality
1,,Shifting gender relations in agriculture and irrigation in the Nepal Tarai-Madhesh,2020,,"International Water Management Institute (IWMI). CGIAR Research Program on Water, Land and Ecosystems (WLE)",https://doi.org/10.5337/2020.211,,11,2025-05-24 11:10:41,report,10.5337/2020.211,,,,,,,1,0.2,0,0,5,"In her previous role as a gender researcher for NEMAF, she played a key role in the fieldwork for this study.She has worked for a range of NGOs",,,SDG 5: Gender Equality
0,,Gender integration in the Plantwise programme: identifying strengths and limitations in Nepal,2022,,CABI,https://doi.org/10.1079/cabicomm-62-8165,,13,2025-05-24 11:10:41,report,10.1079/cabicomm-62-8165,,,,,,,0,0.0,0,0,3,"In Nepal, the Plantwise programme, in collaboration with International Development Enterprises (iDE) has established networks of locally owned plant clinics, run by community business facilitators (CBFs) trained as plant doctors, who provide practical plant health advice.This study examines how gender is integrated into this programme in three purposively selected study districts.It presents the experiences of farmers, the challenges they faced in accessing plant health services through a gender and social inclusion lens.It also identifies strategies and lessons for development of gender responsive plant health programmes.Gender integration in the Plantwise programme: identifying strengths and limitations in Nepal Highlights• Farmers valued the plant health advisory services provided by Community Business Facilitator (CBF) plant doctors, which were communicated using locally understood language and approaches • 70% of the trained CBF plant doctors were women.This resulted in the number of women farmers visiting plant clinics exceeding that of men farmers where women CBF plant doctors operate.• As a result of the plant health training, CBF plant doctors gained additional technical expertise, which earned them trust, helped to increase their client base, and increase their income.• Plant clinics operations appear to be systemically sustainable as CBF plant doctors are linking agro-dealers with farmers, earning commission on input sales to cover their costs in providing plant health services.• During the 2020 COVID-19 pandemic period, plant doctors were able to provide advice to farmers by phone, using different social media platforms, indicating the potential of ICTs to reach farmers located in remote areas of Nepal, who are normally not reached by agricultural extension services. ContextPlantwise is a global programme led by CABI that aims to help farmers reduce crop losses and increase productivity, through strengthening plant health systems, therefore improving the agricultural resilience of rural farmers.Plant clinics are a central part of the programme, where trained extension staff deliver on-demand advice to farmers at central locations e.g. market places, community centres, at regular days and times.In 2013, the Government of Nepal (GoN) and CABI entered into an agreement for the adoption and implementation of the Plantwise programme in the country.It was agreed that the Plant Quarantine and Pesticide Management Centre (PQPMC), erstwhile the Plant Protection Directorate, would be the contact point and coordinating agency in Nepal.The programme trained more than three hundred extension staff (including about 20% women staff) from different district agriculture offices on different modules of the Plantwise programme.These trained extension staff successfully set up and ran plant clinics in their respective areas.Due to the success and relevance of the programme, the GoN institutionalized different Plantwise components in its internal programme with an annual allocation of more than GBP 50,000.However, due to a shortage of staff, (the farmer to extension agent ratio is 1270:1 (Dhital, 2017)), it was decided that plant clinics need to be extended to other alternative approaches like Farmer Field Schools, an FAO initiative; and the CBF programme adopted by iDE, to reach more farmers.In 2018, it was agreed between PQPMC, CABI and iDE that the Plantwise programme should work in collaboration with the ongoing CBF initiative in the country.The CBF initiative trains entrepreneurial farmers based in rural communities with basic IPM skills, to provide extension advice to farmers on agricultural inputs.The CBFs earn a commission from agro-dealers on input sales.Adopting a novel approach, CABI and IDE trained CBFs as plant doctors with courses covering plant health diagnosis, treatment advice and record management.",,,SDG 5: Gender Equality
1,,Gender and labour efficiency in finger millet production in Nepal,2016,Transforming Gender and Food Security in the Global South,Routledge,https://doi.org/10.4324/9781315564111-12,,18,2025-05-24 11:10:41,book-chapter,10.4324/9781315564111-12,,,,,100.0,119.0,1,0.11,0,0,9,"Finger millet is one of the major crops grown under the maize-millet cropping system in the hills of Nepal. It is an important crop for Nepal's upland farmers because it is a climate-smart crop that withstands environmental adversities and can be cultivated in rain-fed marginal lands with minimum or low external inputs (Joshi et al. 2002; Adhikari 2012). It is a rich and inexpensive source of dietary fibre, iron, calcium, and zinc (NARC 2005; Dida and Devos 2006; Mal et al. 2010). The role of finger millet as a cheap source of valuable nutrients becomes more prominent in a country like Nepal, where 25 percent of the population makes less than US$1.25 per day and where the indicators of human development and food security – such as life expectancy (69 years), child mortality (50 children U5/1,000 live births), underweight child (38.6 percent), maternal mortality (170 women/ 100,000 live births), and adult literacy (60 percent) – are dismal at regional as well as global levels. However, farmers are progressively losing interest in finger millet cultivation because of its tedious and labour-intensive agronomic practices and post-harvest operations. Moreover, it is neglected in the national research and extension system and generally perceived as a low-status food crop in Nepal.",,,SDG 5: Gender Equality
2,,"Gender Equality and Social Inclusion in ADB Operations in Nepal, 2011–2015",2017,,Asian Development Bank,https://doi.org/10.22617/tcs178764-2,,45,2025-05-24 11:10:41,report,10.22617/tcs178764-2,,,,,,,2,0.25,0,0,8,"Dalits are members of the so-called ""lowest caste"" in the traditional Hindu caste system.This socially and politically excluded group forms 13%",,,SDG 5: Gender Equality
0,,Gender Equality and Social Inclusion Diagnostic of Selected Sectors in Nepal,2020,,Asian Development Bank,https://doi.org/10.22617/tcs200291-2,,46,2025-05-24 11:10:41,report,10.22617/tcs200291-2,,,,,,,0,0.0,0,0,5,"This publication presents a gender equality and social inclusion (GESI) analysis of priority sectors in Nepal and identifies how gender equality, social inclusion, and women’s empowerment approaches can be integrated into them.

The diagnostic focused on six sectors: agriculture and natural resources management, energy, skills development, urban development, transport and water, and sanitation and hygiene. It was conducted with the aim of informing the GESI initiatives of the Government of Nepal, the Asian Development Bank, and other development partners of the country.",,,SDG 5: Gender Equality
0,,"No Way Out: Women in Nepal Trapped in Cycles of Poverty, Gender Inequality, and Economic Disenfranchisement",2020,Gender and Development: The Economic Basis of Women’s Power,"SAGE Publications, Inc.",https://doi.org/10.4135/9781544381190.n14,,52,2025-05-24 11:10:41,book-chapter,10.4135/9781544381190.n14,,,,,205.0,220.0,0,0.0,0,0,5,,,,SDG 5: Gender Equality
0,,"Workshop on the Water-Livelihoods-Gender Nexus to Advance Koshi Basin Management, 24-25 March 2016, Kathmandu, Nepal",2017,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.855,,78,2025-05-24 11:10:41,report,10.53055/icimod.855,,,,,,,0,0.0,0,0,8,,,,SDG 5: Gender Equality
