Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
134,"A Adhikari, A Dutta, S Sapkota, A Chapagain, ...",Prevalence of poor mental health among medical students in Nepal: a cross-sectional study,2017,BMC medical …,Springer,https://link.springer.com/article/10.1186/s12909-017-1083-0,https://scholar.google.com/scholar?cites=7078950226979632174&as_sdt=2005&sciodt=2007&hl=en,33,2025-05-24 10:11:09,HTML,10.1186/s12909-017-1083-0,,,,,,,134,16.75,27,5,8,… We found high prevalence of poor mental health among medical students of Nepal. Future studies are required to identify the factors associated with poor mental health. …,https://link.springer.com/article/10.1186/s12909-017-1083-0,https://scholar.google.com/scholar?q=related:LrTKvbl7PWIJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
5,"A Adhikari, B Aryal, S Devkota, H Acharya, ...",The role of NHRC in regulating health research ethics in Nepal: A narrative review,2023,Journal of Health …,nepjol.info,https://nepjol.info/index.php/jhp/article/view/61205,https://scholar.google.com/scholar?cites=13763502666949997364&as_sdt=2005&sciodt=2007&hl=en,347,2025-05-24 10:11:09,,,,,,,,,5,2.5,1,5,2,"… to chart Nepal's evolution of health research ethics over time and the role of the Nepal Health … It further highlights the structural inequalities and limitations of health research in Nepal, …",https://nepjol.info/index.php/jhp/article/download/61205/45867,https://scholar.google.com/scholar?q=related:NDOy4MDIAb8J:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
30,"A Ahmad, A Jaleel","Prevalence and correlates of violence against women in Nepal: Findings from Nepal Demographic Health Survey, 2011",2015,Advances in Applied Sociology,scirp.org,https://www.scirp.org/journal/paperinformation?paperid=55238,https://scholar.google.com/scholar?cites=13163676242207126761&as_sdt=2005&sciodt=2007&hl=en,168,2025-05-24 10:11:09,HTML,,,,,,,,30,3.0,15,2,10,"… of Nepal Demographic Health Survey—2011, this paper examined the prevalence and correlates of violence against women in Nepal… ’s chance of being victimised of violence in Nepal. …",https://www.scirp.org/journal/paperinformation?paperid=55238,https://scholar.google.com/scholar?q=related:6TQBU8zFrrYJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
4,"A Bhardwaj, SM Maharjan, AJ Magar, R Shrestha, ...",… in a digital mental health intervention to provide tailored counseling for women experiencing postpartum depression: A mixed methods study in Nepal,2024,… -Mental Health,Elsevier,https://www.sciencedirect.com/science/article/pii/S2666560324000458,https://scholar.google.com/scholar?cites=8030688918145050290&as_sdt=2005&sciodt=2007&hl=en,365,2025-05-24 10:11:09,HTML,,,,,,,,4,4.0,1,5,1,… 'perspectives in Nepal on participating and engaging with a mental health intervention for … that was understood to focus on child health than solely or majorly on women's mental health. …,https://www.sciencedirect.com/science/article/pii/S2666560324000458,https://scholar.google.com/scholar?q=related:sqazywW9cm8J:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
33,"A Bhusal, A Adhikari, PM Singh Pradhan","Workplace violence and its associated factors among health care workers of a tertiary hospital in Kathmandu, Nepal",2023,PLoS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288680,https://scholar.google.com/scholar?cites=399995505733845582&as_sdt=2005&sciodt=2007&hl=en,154,2025-05-24 10:11:09,HTML,,,,,,,,33,16.5,11,3,2,"… health workers in the workplace from any form of violence is also a priority of the Government of Nepal for … by the Health Service Act, 2053 and Safety and Security of health workers and …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288680,https://scholar.google.com/scholar?q=related:TsIED8sRjQUJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
73,"A Chaulagain, A Kunwar, S Watts, ...",Child and adolescent mental health problems in Nepal: a scoping review,2019,… journal of mental health …,Springer,https://link.springer.com/article/10.1186/s13033-019-0310-y,https://scholar.google.com/scholar?cites=929516565917935275&as_sdt=2005&sciodt=2007&hl=en,35,2025-05-24 10:11:09,HTML,10.1186/s13033-019-0310-y,,,,,,,73,12.17,18,4,6,… Nepal has allocated less than 1% of its total health budget for mental health; child and adolescent mental health … an overview of child and adolescent mental health problems in Nepal. …,https://link.springer.com/article/10.1186/s13033-019-0310-y,https://scholar.google.com/scholar?q=related:qyZhVGRO5gwJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
6,"A Dielemans, P Mahat, JA Dunn, ...",Prevalence of maternal depression and anxiety symptoms and associations with child mental health outcomes in rural Nepal,2024,… international health,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/tmi.13956,https://scholar.google.com/scholar?cites=12309948848918231209&as_sdt=2005&sciodt=2007&hl=en,370,2025-05-24 10:11:09,,10.1111/tmi.13956,,,,,,,6,6.0,2,4,1,… associated factors and child mental health outcomes related to symptoms of maternal depression and anxiety within 5 years after childbirth in a rural district in Nepal. This association is …,https://onlinelibrary.wiley.com/doi/pdf/10.1111/tmi.13956,https://scholar.google.com/scholar?q=related:qfj_1kG51aoJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
208,"A Gautam, DN Bhatta, UR Aryal","Diabetes related health knowledge, attitude and practice among diabetic patients in Nepal",2015,BMC endocrine disorders,Springer,https://link.springer.com/article/10.1186/s12902-015-0021-6,https://scholar.google.com/scholar?cites=8714744415407404536&as_sdt=2005&sciodt=2007&hl=en,46,2025-05-24 10:11:09,HTML,10.1186/s12902-015-0021-6,,,,,,,208,20.8,69,3,10,"… between diabetes related health knowledge, attitude and practice in Nepal among those who … diabetes health literacy needs to be improved or developed for better health promotion. …",https://link.springer.com/article/10.1186/s12902-015-0021-6,https://scholar.google.com/scholar?q=related:-HWthN_98HgJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
44,"A Hodge, A Byrne, A Morgan, ...",Utilisation of health services and geography: deconstructing regional differences in barriers to facility-based delivery in Nepal,2015,Maternal and child health …,Springer,https://link.springer.com/article/10.1007/s10995-014-1540-x?sa_campaign=email/event/articleAuthor/onlineFirst&error=cookies_not_supported&code=ed30312c-1492-4525-96b9-5f1ed257faa9,https://scholar.google.com/scholar?cites=15042131811923985046&as_sdt=2005&sciodt=2007&hl=en,222,2025-05-24 10:11:09,,10.1007/s10995-014-1540-x,,,,,,,44,4.4,11,4,10,"… region of Nepal and the … Nepal Demographic and Health Survey, we examine the extent to which observable factors explain the overall differences in the utilisation of maternal health …",,https://scholar.google.com/scholar?q=related:lgJVsi9jwNAJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
15,"A Horton, RC Silwal, P Simkhada","A survey study on the role of Female Community Health Volunteers (FCHVs) in Nepal, during and following the 2015 earthquakes",2020,International Journal of Disaster Risk …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2212420919315468,https://scholar.google.com/scholar?cites=1323010742750916148&as_sdt=2005&sciodt=2007&hl=en,474,2025-05-24 10:11:09,,,,,,,,,15,3.0,5,3,5,"… roles in public and primary health, globally. This paper … Nepal as a specific case study. A survey was carried out in the Dhading District of Nepal, in collaboration with Green Tara Nepal …",https://pure.hud.ac.uk/ws/files/20525332/Manuscript_A_Survey_Study_on_the_Role_of_FCHVs_copy.pdf,https://scholar.google.com/scholar?q=related:NK6xy0JHXBIJ:scholar.google.com/&scioq=intitle:health+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2025,SDG 3: Good Health and Well-being
