Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Factors Affecting Tourism Industry of Nepal,2020,"Journal of Tourism, Hospitality and Sports","International Institute for Science, Technology and Education",https://doi.org/10.7176/jths/51-04,,1,2025-05-24 11:23:30,journal-article,10.7176/jths/51-04,,,,,,,0,0.0,0,0,5,"The purpose of this study is to find the factors that are affecting the Nepalese tourism industry and SWOT analysis. The primary data was used to determine the factors influencing the Nepalese tourism industry in order to explore them. The questionnaire survey was conducted from March to May 2019. Data was collected from managers of sample hotels &amp; travel agencies and tourists visiting various places of Nepal. An exploratory research design was used. Simple descriptive statistical tools such as frequencies, mean, standard deviation, and rank were used as statistical tools. The results show that the heritage tourism, religious tourism, cultural tourism, adventure or eco-tourism, wildlife tourism, and sports tourism are the positive factors whereas lack of infrastructure, ineffective promotional policies, inadequate tourist’s services and facilities, inadequate knowledge and training of personnel in the tourism sector, inadequate infrastructure facilities, and lack of incentives in the tourist sector are the negative factors. The important aspect or value of this research is that it has brought into consideration almost all the important factors that are affecting the Nepalese tourism industry according to the view of managers and tourists. Keywords : Factors, Negative factors, Positive factors, SWOT, Tourism industry, Tourists DOI: 10.7176/JTHS/51-04 Publication date: October 31 st 2020",,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Ganoderma industry in Nepal: current status and future prospects,2022,Asian journal of Mycology,Mushroom Research Foundation,https://doi.org/10.5943/ajom/5/1/1,,11,2025-05-24 11:23:30,journal-article,10.5943/ajom/5/1/1,,,5.0,1.0,1.0,15.0,0,0.0,0,0,3,"Ganoderma has long been regarded as one of the most important medicinal mushrooms, particularly in China, Japan, and the Korean Peninsula for millennia to enhance longevity and health. Ganoderma and its allied products are a multi-billion-dollar worth industry worldwide. Ganoderma, which is considered an important non-timber forest product (NTFP) in Nepal, has entered the industrial market only a decade ago. Besides the global market, the domestic market has grown dramatically in recent years. Ganoderma is collected in large quantities (about 4-10 tons per year) from Nepalese forests to meet its rising demand and is mostly sold to China in crude form. Since the authority has poor knowledge of the Ganoderma market it is transported with minimal royalty of US$ 0.043/kg under the heading entitled “sadharan chyau”. Almost all of Nepal's Ganoderma comes from natural stands, with the bulk coming from the Karnali (46%) and Far West (50%) provinces. With the great potential for the Ganoderma business, most of the other areas of the country have yet to be fully explored. By establishing processing units and offering locally priced micro-enterprise technologies, there are several opportunities for value addition. However, it looks that sustaining a steady supply of this highly sought mushroom will be tough. Concerns have been expressed about overexploitation of wild Ganoderma obtained in an unsustainable way or at an early stage. For the long-term management of Ganoderma and its habitat protection, a solid local resource monitoring system and scientific intervention for artificial cultivation are required. This study attempts to summarize the trade dynamics and development of the Ganoderma industry in Nepal with reference to the global Ganoderma industry.",,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Nepal – Western Nepal earthquake: Urgent call for assistance,2024,,FAO,https://doi.org/10.4060/cd0519en,,69,2025-05-24 11:23:30,report,10.4060/cd0519en,,,,,,,0,0.0,0,0,1,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,124,2025-05-24 11:23:30,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,INTRODUCTION TO NEPAL,2022,Plant-Based Himalaya,Red Lightning Books,https://doi.org/10.2307/j.ctv27tcv11.4,,133,2025-05-24 11:23:30,book-chapter,10.2307/j.ctv27tcv11.4,,,,,1.0,20.0,0,0.0,0,0,3,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Deaf in a “New Nepal”,2016,Signing and Belonging in Nepal,Gallaudet University Press,https://doi.org/10.2307/j.ctv2rh2bgf.10,,142,2025-05-24 11:23:30,book-chapter,10.2307/j.ctv2rh2bgf.10,,,,,109.0,116.0,0,0.0,0,0,9,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Nepal Development Update: International Migration and Well-being in Nepal,2024,,"Washington, DC: World Bank",https://doi.org/10.1596/42340,,165,2025-05-24 11:23:30,book,10.1596/42340,,,,,,,0,0.0,0,0,1,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Nepal and the Pax Britannica,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.10,,195,2025-05-24 11:23:30,book-chapter,10.2307/jj.2430549.10,,,,,151.0,174.0,0,0.0,0,0,2,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Nepal,2019,The Statesman’s Yearbook Companion,Palgrave Macmillan UK,https://doi.org/10.1057/978-1-349-95839-9_1439,,216,2025-05-24 11:23:30,book-chapter,10.1057/978-1-349-95839-9_1439,,,,,747.0,748.0,0,0.0,0,0,6,,http://link.springer.com/content/pdf/10.1057/978-1-349-95839-9_1439,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Parthenium weed - Nepal.,2019,PlantwisePlus Knowledge Bank,CABI Publishing,https://doi.org/10.1079/pwkb.20197800521,,226,2025-05-24 11:23:30,dataset,10.1079/pwkb.20197800521,,,,,,,0,0.0,0,0,6,,,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Macroeconomic Variables and Effect on Stock Prices: Correlation Evidence from Nepal,2022,International Journal of Multidisciplinary Research and Analysis,Everant Journals,https://doi.org/10.47191/ijmra/v5-i7-03,,235,2025-05-24 11:23:30,journal-article,10.47191/ijmra/v5-i7-03,2643-9840,,5.0,7.0,,,0,0.0,0,0,3,"This paper attempts to study the macroeconomic factors that affect the stock prices in Nepal. It considers the annual data of four macroeconomic variables that affect the NEPSE Index; inflation rate, broad money supply, gross domestic product, and per capita income from 2011-2021 and tries to find out the influence of these variables on the NEPSE index (stock prices). It uses the Pearson correlation matrix to study the relationship between stock prices ad macroeconomic variables. The results obtained from correlation analysis revealed that market performance of stock prices is found to respond positively to broad money supply and gross domestic product and negatively to the inflation rate as expected. Also, the NEPSE index is not affected by the changes in the per capita income of the nation. These findings help to build up economic and financial policies in the nation and stabilize the capital stock market in Nepal.",,,"SDG 9: Industry, Innovation and Infrastructure"
0,,Fall armyworm on maize - Nepal.,2019,PlantwisePlus Knowledge Bank,CABI Publishing,https://doi.org/10.1079/pwkb.20197800519,,309,2025-05-24 11:23:30,dataset,10.1079/pwkb.20197800519,,,,,,,0,0.0,0,0,6,,,,"SDG 9: Industry, Innovation and Infrastructure"
