Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Biodiversity and sustainability in Nepal: a role for deliberation?,2015,Governing Biodiversity through Democratic Deliberation,Routledge,https://doi.org/10.4324/9781315849317-16,,3,2025-05-24 11:54:20,book-chapter,10.4324/9781315849317-16,,,,,107.0,128.0,0,0.0,0,0,10,"Nepal is a small, landlocked country of some 26 million inhabitants in south Asia that borders China (Tibet) to the north and India to the south, east and west (CBS, 2011). Home to eight of the world's ten highest peaks, including Mount Everest, it is an ecologically diverse country with three main physiographic regions: the mountains, the highly populated hill region, and the tropical Terai. This terrain includes over 118 different types of ecosystems (MFSC, 2002: 10). The bounty afforded by the biological diversity of the hill and Terai in particular have sustained their inhabitants for millennia, although landscapes in both have been seriously degraded, while in today's Nepal the natural wonders of the mountains and to a lesser extent the Terai attract trekkers and other tourists from around the world.",,,SDG 14: Life Below Water
0,,"Crossborder sharing of experiences in biodiversity management in the Kailash Sacred Landscape - Nepal and India, ICIMOD Proceedings",2019,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.899,,18,2025-05-24 11:54:20,report,10.53055/icimod.899,,,,,,,0,0.0,0,0,6,,,,SDG 14: Life Below Water
0,,Proceedings of the workshop on Prakriti Ahwaan : Local-level cross-border exchange for biodiversity management in the Kailash Sacred Landscape - India and Nepal,2020,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.969,,74,2025-05-24 11:54:20,report,10.53055/icimod.969,,,,,,,0,0.0,0,0,5,,,,SDG 14: Life Below Water
1,,Examining social accountability tools in the water sector: a case study from Nepal,2021,,"International Water Management Institute (IWMI). CGIAR Research Program on Water, Land and Ecosystems (WLE)",https://doi.org/10.5337/2021.211,,117,2025-05-24 11:54:20,report,10.5337/2021.211,,,,,,,1,0.25,0,0,4,,,,SDG 14: Life Below Water
0,,"Correction: Land-Use and Socioeconomic Change, Medicinal Plant Selection and Biodiversity Resilience in Far Western Nepal",2016,PLOS ONE,Public Library of Science (PLoS),https://doi.org/10.1371/journal.pone.0169447,,199,2025-05-24 11:54:20,journal-article,10.1371/journal.pone.0169447,1932-6203,,11.0,12.0,,,0,0.0,0,0,9,[This corrects the article DOI: 10.1371/journal.pone.0167812.].,http://dx.plos.org/10.1371/journal.pone.0169447,,SDG 14: Life Below Water
0,,"Status of Water, Sanitation and Hygeine Practices (Wash) in Government School of Butwal Municipality, Western Nepal",2017,International Journal of Science and Research (IJSR),International Journal of Science and Research,https://doi.org/10.21275/art20171233,,266,2025-05-24 11:54:20,journal-article,10.21275/art20171233,2319-7064,,6.0,12.0,224.0,227.0,0,0.0,0,0,8,"WASH (Water, sanitation and hygiene promotion) in schools, plays an important role to provide a safe, healthy and comfortable environment where children grow, learn and thrive. This study was carried out to find the status of water, sanitation and hygiene practices in government school of Butwal municipality, Western Nepal. The study was done using random sampling method during June 2013 and September 2013. Eighty percent of the sampled schools had adequate water supply but only 10% of the sampled schools had adequate number of water tap with respect to students (1: 50). Forty percent of the sampled schools drinking water exceeds nitrate level than NDWQS-2062. Fifty percent of the sampled schools drinking water was unfit due to the presence of coliforms. Only 20% of the sampled schools filtered the water before storing into tank. Only 20% of the sampled schools tested the quality of water once a year. Forty percent of the sampled schools had adequate number of toilet for boys and only 10% of schools had adequate number of toilet for girls (40:1 for boys and 20:1 for girls). Only 20% of schools were child friendly in terms of toilet. Only 20% of schools had effective handwashing practices. All schools had no dental hygiene program. Eighty percent of schools had menstrual hygiene facilities.Only 20% of schools used incinerator for solid waste management.All schools had no effective liquid waste management practices.In Majority of school operation, maintenance and repairing was problem on WASH facilities.The result obtained from the study showed that the hardware components of WASH are not adequate to meet the WASH standard and the software component (hygiene promotion) in school was not effectively implemented.The study also found the coliform contamination to be the key problem with drinking water.",,,SDG 14: Life Below Water
0,,"World - Climate Services Operational Pathways: Pathways for Transforming Weather, Water, and Climate Services in Nepal",2021,,"Washington, DC",https://doi.org/10.1596/37581,,289,2025-05-24 11:54:20,book,10.1596/37581,,,,,,,0,0.0,0,0,4,,,,SDG 14: Life Below Water
2,,"Comparison Growing Stock, Carbon Stock and Biodiversity in and Around Banke National Park, Nepal",2019,International Journal of Advanced Research in Botany,ARC Publications Pvt Ltd.,https://doi.org/10.20431/2455-4316.0504001,,299,2025-05-24 11:54:20,journal-article,10.20431/2455-4316.0504001,2455-4316,,5.0,4.0,,,2,0.33,0,0,6,"There is imperative interrelationship between people and forests (Kirby & Potvin, 2007;Scherer-Lorenzen et al., 2005) because forests are very benign to them.In fact, the green forests are working as tireless apparatus of oxygen production which is the precious life gas for living beings (Grove, 1996).Forests produce timber and nontimber products.Besides, the forests function as ecosystem services, biodiversity kit and capture the CO 2 produced during the respiration process of living beings (Gómez-Baggethun, De Groot, Lomas, & Montes, 2010).This is why, life is impossible without green forests on the planet (Fisher, Turner, & Morling, 2009;Pimentel et al., 1980).Globally, estimated annual deforestation was -0.13% between 2000 and 2010 but it was positive change 0.28% in Asia (Schmitt et al., 2009).Moreover, the annual forest area loss in Terai, Nepal was 0.40% in between 1991 to 2010 (Oli & Shrestha, 2009).However, present assessment showed the positive trend in forest in Nepal (DFRS, 2015).People and their poverty are equally responsible for mismanagement of forests (Desa, 2014).Globally, middle class population expanded from 26% to 58% in between 1990 to 2010(Penafiel, Lachat, Espinel, Van Damme, & Kolsteren, 2011).About 1.57 billion people or more than 30% of the population of the 104 countries counting Nepal live in multidimensional poverty (Malik, 2013).About 60 million people (especially indigenous peoples) are wholly dependent on forests for subsistence livelihood (Giri et al., 2011).So, only managing the forests is not the reliable solution to reverse the degraded and deforested lands without managing these people (Karsenty & Ongolo, 2012;Mandal, Dutta, Jha, & Karmacharya, 2015).",,,SDG 14: Life Below Water
0,,"Workshop on the Water-Livelihoods-Gender Nexus to Advance Koshi Basin Management, 24-25 March 2016, Kathmandu, Nepal",2017,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.855,,305,2025-05-24 11:54:20,report,10.53055/icimod.855,,,,,,,0,0.0,0,0,8,,,,SDG 14: Life Below Water
5,,Drinking water plants aid Nepal earthquake crisis,2015,World Pumps,Mark Allen Group,https://doi.org/10.1016/s0262-1762(15)30200-5,,320,2025-05-24 11:54:20,journal-article,10.1016/s0262-1762(15)30200-5,0262-1762,,2015.0,7.0,16.0,17.0,5,0.5,0,0,10,,https://api.elsevier.com/content/article/PII:S0262176215302005,,SDG 14: Life Below Water
