Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,"Research Policy Interface:Incentivizing Communities for Ecosystem Services in Nepal, 9 November 2016, Kathmandu Nepal; Workshop Report",2017,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.851,,1,2025-05-24 11:56:20,report,10.53055/icimod.851,,,,,,,0,0.0,0,0,8,,,,SDG 15: Life on Land
0,,International Development Enterprise (Ide) Nepal: Developing Smallholder Ecosystem,2021,Inclusive Business Models,Cambridge University Press,https://doi.org/10.1017/9781108867399.010,,8,2025-05-24 11:56:20,other,10.1017/9781108867399.010,,,,,210.0,237.0,0,0.0,0,0,4,"In this chapter, we talk about the evolution of International Development Enterprise (IDE), a not-for-profit organization working in rural Nepal, and the impact that its various development initiatives have had in improving the socio-economic conditions of smallholder farmers. IDE raises funds from donor and philanthropic agencies and utilizes them to develop smallholder communities by creating livelihood opportunities.",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AE97D5389B921C99FF83716CB66A2DE1,,SDG 15: Life on Land
1,,"A Multi-dimensional Assessment of Ecosystems and Ecosystem Services at Udayapur, Nepal; ICIMOD Working Paper 2017/20",2017,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.648,,10,2025-05-24 11:56:20,report,10.53055/icimod.648,,,,,,,1,0.13,0,0,8,,,,SDG 15: Life on Land
0,,"Regional Symposium on Ecosystem Services and Poverty Alleviation in South Asia Practical Approaches to Improving Human Wellbeing and Natural Resources in South Asia, 13â€“14 March 2018, Kathmandu, Nepal; ICIMOD Proceeding 2018/8",2018,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.736,,77,2025-05-24 11:56:20,report,10.53055/icimod.736,,,,,,,0,0.0,0,0,7,,,,SDG 15: Life on Land
0,,Nepal – Western Nepal earthquake: Urgent call for assistance,2024,,FAO,https://doi.org/10.4060/cd0519en,,126,2025-05-24 11:56:20,report,10.4060/cd0519en,,,,,,,0,0.0,0,0,1,,,,SDG 15: Life on Land
0,,"Ecosystem Based Adaptation (EbA) &amp; Engineering Options (EOs) as a Solution for Climate Change induced Flood Hazard in Ajgada Village of Udayapur District, Nepal",2019,International Journal of Research in Environmental Science,ARC Publications Pvt Ltd.,https://doi.org/10.20431/2454-9444.0503002,,134,2025-05-24 11:56:20,journal-article,10.20431/2454-9444.0503002,2454-9444,,5.0,3.0,,,0,0.0,0,0,6,"Nepal is particularly susceptible to climate-related disasters and experiences frequently landslides, debris flow and floods because of its varied topography and geological characteristics, together with torrential rain during the monsoon season.Today, there is need of finding better options to adapt with the effect of climate change.This research is based on a case study of Ksedi River catchment, Ajgada village of Hadiya in Udayapur district of Nepal, tries to demonstrate the best options for dealing with flood for making sustainability with long-term benefits.This research recommends Ecosystem based Adaptation and Engineering Options that are feasible in the village and watershed area to reduce the flood impacts.It is recommended for reforestation of upland forest areas, prioritization of adaptation options to receive maximum benefits and further detail study of EbA considering Payment of Ecosystem Services.",,,SDG 15: Life on Land
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,180,2025-05-24 11:56:20,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,SDG 15: Life on Land
0,,INTRODUCTION TO NEPAL,2022,Plant-Based Himalaya,Red Lightning Books,https://doi.org/10.2307/j.ctv27tcv11.4,,187,2025-05-24 11:56:20,book-chapter,10.2307/j.ctv27tcv11.4,,,,,1.0,20.0,0,0.0,0,0,3,,,,SDG 15: Life on Land
0,,Deaf in a “New Nepal”,2016,Signing and Belonging in Nepal,Gallaudet University Press,https://doi.org/10.2307/j.ctv2rh2bgf.10,,199,2025-05-24 11:56:20,book-chapter,10.2307/j.ctv2rh2bgf.10,,,,,109.0,116.0,0,0.0,0,0,9,"An electrically conductive metal typically transmits or absorbs a spin current. Here, we report on evidence that interfacing two metal thin films can suppress spin transmission and absorption. We examine spin pumping in spin-source/spacer/spin-sink heterostructures, where the spacer consists of metallic Cu and Cr thin films. The Cu/Cr spacer largely suppresses spin pumping—i.e., neither transmitting nor absorbing a significant amount of spin current—even though Cu or Cr alone transmits a sizable spin current. The antiferromagnetism of Cr is not essential for the suppression of spin pumping, as we observe similar suppression with Cu/V spacers with V as a nonmagnetic analog of Cr. We speculate that diverse combinations of spin-transparent metals may form interfaces that suppress spin pumping, although the underlying mechanism remains unclear. Our work may stimulate a new perspective on spin transport in metallic multilayers.",,,SDG 15: Life on Land
0,,Nepal Development Update: International Migration and Well-being in Nepal,2024,,"Washington, DC: World Bank",https://doi.org/10.1596/42340,,217,2025-05-24 11:56:20,book,10.1596/42340,,,,,,,0,0.0,0,0,1,,,,SDG 15: Life on Land
0,,Nepal and the Pax Britannica,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.10,,242,2025-05-24 11:56:20,book-chapter,10.2307/jj.2430549.10,,,,,151.0,174.0,0,0.0,0,0,2,,,,SDG 15: Life on Land
0,,Parthenium weed - Nepal.,2019,PlantwisePlus Knowledge Bank,CABI Publishing,https://doi.org/10.1079/pwkb.20197800521,,263,2025-05-24 11:56:20,dataset,10.1079/pwkb.20197800521,,,,,,,0,0.0,0,0,6,,,,SDG 15: Life on Land
0,,Nepal,2019,The Statesman’s Yearbook Companion,Palgrave Macmillan UK,https://doi.org/10.1057/978-1-349-95839-9_1439,,268,2025-05-24 11:56:20,book-chapter,10.1057/978-1-349-95839-9_1439,,,,,747.0,748.0,0,0.0,0,0,6,,http://link.springer.com/content/pdf/10.1057/978-1-349-95839-9_1439,,SDG 15: Life on Land
0,,Macroeconomic Variables and Effect on Stock Prices: Correlation Evidence from Nepal,2022,International Journal of Multidisciplinary Research and Analysis,Everant Journals,https://doi.org/10.47191/ijmra/v5-i7-03,,284,2025-05-24 11:56:20,journal-article,10.47191/ijmra/v5-i7-03,2643-9840,,5.0,7.0,,,0,0.0,0,0,3,"This paper attempts to study the macroeconomic factors that affect the stock prices in Nepal. It considers the annual data of four macroeconomic variables that affect the NEPSE Index; inflation rate, broad money supply, gross domestic product, and per capita income from 2011-2021 and tries to find out the influence of these variables on the NEPSE index (stock prices). It uses the Pearson correlation matrix to study the relationship between stock prices ad macroeconomic variables. The results obtained from correlation analysis revealed that market performance of stock prices is found to respond positively to broad money supply and gross domestic product and negatively to the inflation rate as expected. Also, the NEPSE index is not affected by the changes in the per capita income of the nation. These findings help to build up economic and financial policies in the nation and stabilize the capital stock market in Nepal.",,,SDG 15: Life on Land
0,,Fall armyworm on maize - Nepal.,2019,PlantwisePlus Knowledge Bank,CABI Publishing,https://doi.org/10.1079/pwkb.20197800519,,359,2025-05-24 11:56:20,dataset,10.1079/pwkb.20197800519,,,,,,,0,0.0,0,0,6,,,,SDG 15: Life on Land
0,,Afterword: the lessons from Nepal,2016,"Aid, Technology and Development",Routledge,https://doi.org/10.4324/9781315621630-25,,362,2025-05-24 11:56:20,book-chapter,10.4324/9781315621630-25,,,,,236.0,239.0,0,0.0,0,0,9,"First, although many development projects end in failure – thus often making poor people poorer and corrupt states even more corrupt – some development projects have beneficial impacts on poverty alleviation, the accumulation of social capital, environmental protection and the improvement of people's health and general well-being. This is perhaps an unsurprising conclusion, but still worth noting given the current policy debates about development aid around the world, which range from 'close the [World] Bank!' on the one hand to 'triple development aid!' on the other (Verweij and Gyawali 2006). Nepal is strewn with highly expensive development failures that have lined the pockets of Western consultants and companies, as well as less-than-honest domestic decision makers (see Chapters 3, 4 and 10). These include the infamous Arun 3 dam and similarly large hydro projects, often pushed by the World Bank and other aid donors (Chapter 8). They also include the ill-fated privatisation of Bara Forest, foisted upon local communities by a Finnish logging company and the Finnish International Development Agency in the 1980s (Chapter 1).",,,SDG 15: Life on Land
0,,Nepal Adjusts to the British “Forward Policy”,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.9,,376,2025-05-24 11:56:20,book-chapter,10.2307/jj.2430549.9,,,,,128.0,150.0,0,0.0,0,0,2,,,,SDG 15: Life on Land
0,,Social structure of Nepal,2016,Social Transformation in Post-conflict Nepal,Routledge,https://doi.org/10.4324/9781315666037-3,,388,2025-05-24 11:56:20,book-chapter,10.4324/9781315666037-3,,,,,35.0,59.0,0,0.0,0,0,9,,,,SDG 15: Life on Land
0,,Map of Nepal,2019,In the Circle of the Dance,Cornell University Press,https://doi.org/10.7591/9781501725319-001,,417,2025-05-24 11:56:20,book-chapter,10.7591/9781501725319-001,,,,,,,0,0.0,0,0,6,,http://www.degruyter.com/view/books/9781501725319/9781501725319-001/9781501725319-001.xml,,SDG 15: Life on Land
0,,Appendix A: Caste Hierarchy in Nepal,2020,Planning Families in Nepal,Rutgers University Press,https://doi.org/10.36019/9780813578644-009,,512,2025-05-24 11:56:20,book-chapter,10.36019/9780813578644-009,,,,,127.0,128.0,0,0.0,0,0,5,,https://www.degruyter.com/view/book/9780813578644/10.36019/9780813578644-009.xml,,SDG 15: Life on Land
0,,Public Expenditure and Financial Accountability Assessment: Nepal PFM Performance Assessment II,2015,,"World Bank, Kathmandu",https://doi.org/10.1596/22368,,584,2025-05-24 11:56:20,book,10.1596/22368,,,,,,,0,0.0,0,0,10,,,,SDG 15: Life on Land
0,,Nepal Challenges the Lion:,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.7,,700,2025-05-24 11:56:20,book-chapter,10.2307/jj.2430549.7,,,,,75.0,102.0,0,0.0,0,0,2,,,,SDG 15: Life on Land
0,,“Here in Nepal There Are No Old Deaf People”:,2016,Signing and Belonging in Nepal,Gallaudet University Press,https://doi.org/10.2307/j.ctv2rh2bgf.8,,772,2025-05-24 11:56:20,book-chapter,10.2307/j.ctv2rh2bgf.8,,,,,65.0,88.0,0,0.0,0,0,9,"Signing and belonging in Nepal presents an insightful examination of what deafness means in the cultural, linguistic, political, religious, geographic, and social contexts of Nepal. This book is extremely engaging and readable and presents many interesting accounts of what deafness means in Nepal. It would be a great choice for anyone who is interested in learning about different cultures and languages.",,,SDG 15: Life on Land
