Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
7,"A Benali, M Oris",Consuming poverty: volunteer tourism in an orphanage in Nepal.,2020.0,Modern day slavery and orphanage tourism,cabidigitallibrary.org,https://www.cabidigitallibrary.org/doi/abs/10.1079/9781789240795.0110,https://scholar.google.com/scholar?cites=6552531856410366272&as_sdt=2005&sciodt=2007&hl=en,117,2025-05-24 10:27:24,,10.1079/9781789240795.0110,,,,,,,7,1.4,4,2,5.0,… Nepal was the focus of our research because we viewed it is a relevant and compelling context for the examination of the poverty alleviation business and the associated study of …,https://www.researchgate.net/profile/Amira-Benali/publication/338521526_Consuming_poverty_volunteer_tourism_in_an_orphanage_in_Nepal/links/65721621ea5f7f02054ce480/Consuming-poverty-volunteer-tourism-in-an-orphanage-in-Nepal.pdf,https://scholar.google.com/scholar?q=related:QFHFsAFF71oJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
4,"A Benali, O Kravets",An exploration of poverty as a consumption object: voluntourist's stories from an orphanage in Nepal,2022.0,Consumption Markets &Culture,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/10253866.2022.2116429,https://scholar.google.com/scholar?cites=16495834930805921826&as_sdt=2005&sciodt=2007&hl=en,133,2025-05-24 10:27:24,,10.1080/10253866.2022.2116429,,,,,,,4,1.33,2,2,3.0,"… experiences of poverty alleviation. Based on the ethnography of an orphanage in Nepal, we … approach to poverty relief, their accounts tend to consolidate rather regressive ideas about …",https://www.researchgate.net/profile/Amira-Benali/publication/363229090_An_exploration_of_poverty_as_a_consumption_object_voluntourist's_stories_from_an_orphanage_in_Nepal/links/65bcdaf979007454975fbeeb/An-exploration-of-poverty-as-a-consumption-object-voluntourists-stories-from-an-orphanage-in-Nepal.pdf,https://scholar.google.com/scholar?q=related:ItgqjHj67OQJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
18,"A Buettgen, R Gorman, M Rioux, K Das, ...","Employment, poverty, disability and gender: A rights approach for women with disabilities in India, Nepal and Bangladesh",2015.0,Women's Mental Health …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-17326-9_1,https://scholar.google.com/scholar?cites=2795767039796967342&as_sdt=2005&sciodt=2007&hl=en,107,2025-05-24 10:27:24,,10.1007/978-3-319-17326-9_1,,,,,,,18,1.8,4,5,10.0,"… and poverty affect the empowerment and well-being of women with disabilities in India, Nepal … economic well-being of women and men with disabilities in India, Nepal and Bangladesh. …",,https://scholar.google.com/scholar?q=related:rvfXYU-PzCYJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
0,A Limbu,Linkages between migration and poverty in Nepal,2019.0,Human Security in South Asia,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429331879-13/linkages-migration-poverty-nepal-amrita-limbu,,169,2025-05-24 10:27:24,,10.4324/9780429331879-13,,,,,,,0,0.0,0,1,6.0,"… the linkages between migration and poverty, and, in particular, examines how migration has resulted in reduced poverty among migrant households in Nepal. The South–South …",,https://scholar.google.com/scholar?q=related:Qi-tFhyRmAcJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
0,A Nepal,"Labor productivity, remittance use, and the impact of the poverty alleviation fund program in Nepal",2016.0,,ideals.illinois.edu,https://www.ideals.illinois.edu/items/95473,,156,2025-05-24 10:27:24,,,,,,,,,0,0.0,0,1,9.0,"… from Nepal to investigate the effect of remittances on household expenditure patterns, and I compare the prevalence of poverty … With regards to poverty, the paper shows that receiving …",https://www.ideals.illinois.edu/items/95473/bitstreams/308505/data.pdf,https://scholar.google.com/scholar?q=related:R3JBTgksAAcJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
3,A Nepal,Impact of the Poverty Alleviation Fund program in Nepal,2015.0,University of Illinois. http://ace. illinois. edu/sites/ace …,,,https://scholar.google.com/scholar?cites=6373082873752115243&as_sdt=2005&sciodt=2007&hl=en,198,2025-05-24 10:27:24,CITATION,,,,,,,,3,0.3,3,1,10.0,,,https://scholar.google.com/scholar?q=related:K9gejhu9cVgJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
3,A Nepal,Impact of the Poverty Alleviation Fund Program on Migration and Remittances in Nepal,2016.0,"Urbana, IL: University of Illinois",,,https://scholar.google.com/scholar?cites=3086382873600887457&as_sdt=2005&sciodt=2007&hl=en,240,2025-05-24 10:27:24,CITATION,,,,,,,,3,0.33,3,1,9.0,,,https://scholar.google.com/scholar?q=related:oYrUBd8I1SoJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
3,"A Pradesha, R Thapa-Parajuli, X Diao","COVID-19 in Nepal: Impacts on Production, Poverty and Food Systems",2021.0,"IFPRI and Tribhuvan University, Nepal …",,,https://scholar.google.com/scholar?cites=10620841996031000294&as_sdt=2005&sciodt=2007&hl=en,261,2025-05-24 10:27:24,CITATION,,,,,,,,3,0.75,1,3,4.0,,,https://scholar.google.com/scholar?q=related:5n76FIbPZJMJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
0,"A Subedi, G Bogati, J Gaire, N Chhetri, R Shrestha, ...",Globalization and Poverty Alleviation: Scenario of Nepal,2018.0,,academia.edu,https://www.academia.edu/download/57027827/Economics-1.pdf,,170,2025-05-24 10:27:24,PDF,,,,,,,,0,0.0,0,6,7.0,"… and Poverty status of Nepal. As, there are contrasting views about globalization and poverty reduction, this research analyzes the impact of globalization on poverty reduction of Nepal …",https://www.academia.edu/download/57027827/Economics-1.pdf,https://scholar.google.com/scholar?q=related:wAzm7yTzr9cJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
0,"AB Phuyal, RK Phuyal",Micro-level Estimation of Poverty and Inequality in a Rural Village of Nepal,,researchgate.net,,https://www.researchgate.net/profile/Ram-Phuyal/publication/302992108_Micro-level_Estimation_of_Poverty_and_Inequality_in_a_Rural_Village_of_Nepal/links/5734cb1a08aea45ee83af496/Micro-level-Estimation-of-Poverty-and-Inequality-in-a-Rural-Village-of-Nepal.pdf,,179,2025-05-24 10:27:24,PDF,,,,,,,,0,0.0,0,2,,"… , the nature of poverty in Nepal is rural oriented one. … poverty situation in rural Nepal is not similar to as common poor as we expected. By the development regions incidence of poverty …",https://www.researchgate.net/profile/Ram-Phuyal/publication/302992108_Micro-level_Estimation_of_Poverty_and_Inequality_in_a_Rural_Village_of_Nepal/links/5734cb1a08aea45ee83af496/Micro-level-Estimation-of-Poverty-and-Inequality-in-a-Rural-Village-of-Nepal.pdf,https://scholar.google.com/scholar?q=related:CAeOkOMejeMJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
22,"AC Florence, IIC Justine","Gender inequality, poverty alleviation and sustainable development in Nigeria: Lessons from the Rapti Women Empowerment Project, Nepal",2015.0,International Journal of Accounting …,j.arabianjbmr.com,https://j.arabianjbmr.com/index.php/ijar/article/view/78,https://scholar.google.com/scholar?cites=17549111871438255228&as_sdt=2005&sciodt=2007&hl=en,95,2025-05-24 10:27:24,,,,,,,,,22,2.2,11,2,10.0,"… world’s poverty. As earlier mentioned, we will be considerately using the work of Heifer in Nepal as a case study for the purpose of this paper. In a culture such as Nepal engulfed with a …",https://j.arabianjbmr.com/index.php/ijar/article/download/78/76,https://scholar.google.com/scholar?q=related:fPSqlET4ivMJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
1,"AK Dahal, PB Budhathoki, ...","Impact of Unemployment, Income Inequality, Inflation Rate, and Political Stability on Poverty: An Empirical Study of Nepal",2024.0,Arab Economic and …,journals.usek.edu.lb,https://journals.usek.edu.lb/aebj/vol16/iss2/1/,https://scholar.google.com/scholar?cites=10666285608956537911&as_sdt=2005&sciodt=2007&hl=en,43,2025-05-24 10:27:24,,,,,,,,,1,1.0,0,3,1.0,"… poverty, but inflation and economic growth are not statistically signiicant enough to explain poverty in Nepal. … is associated with a 0.2286-unit rise in poverty. However, this result is not …",https://journals.usek.edu.lb/cgi/viewcontent.cgi?article=1044&context=aebj,https://scholar.google.com/scholar?q=related:Nyy3uj9CBpQJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
2,B Adhikari,Impact of remittance on income inequality and poverty reduction in Nepal,2016.0,International Journal of Innovative …,indianjournalofmanagement.com,https://indianjournalofmanagement.com/index.php/ijird/article/view/109057,https://scholar.google.com/scholar?cites=15957219387576410292&as_sdt=2005&sciodt=2007&hl=en,147,2025-05-24 10:27:24,,,,,,,,,2,0.22,2,1,9.0,"Labor migration is the international phenomena. From the economic perspective, it is very good source of remittance which has significant contribution in the development and change …",,https://scholar.google.com/scholar?q=related:tOB373xuc90J:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
0,B Bhattarai,"PROGRESS IN, PROSPECTS FOR, AND BARRIERS TO REDUCING ENERGY POVERTY IN NEPAL",,researchgate.net,,https://www.researchgate.net/profile/Bishwaraj-Bhattarai/publication/319260950_PROGRESS_IN_PROSPECTS_FOR_AND_BARRIERS_TO_REDUCING_ENERGY_POVERTY_IN_NEPAL/links/599ea79445851574f4b83d8d/PROGRESS-IN-PROSPECTS-FOR-AND-BARRIERS-TO-REDUCING-ENERGY-POVERTY-IN-NEPAL.pdf,,186,2025-05-24 10:27:24,PDF,,,,,,,,0,0.0,0,1,,"… Biogas Sector Partnership Nepal(BSP-Nepal), an implementing organisation with a partnership of Nepal Government, Netherlands development organisation(SNV), Nepal Gobar Gas …",https://www.researchgate.net/profile/Bishwaraj-Bhattarai/publication/319260950_PROGRESS_IN_PROSPECTS_FOR_AND_BARRIERS_TO_REDUCING_ENERGY_POVERTY_IN_NEPAL/links/599ea79445851574f4b83d8d/PROGRESS-IN-PROSPECTS-FOR-AND-BARRIERS-TO-REDUCING-ENERGY-POVERTY-IN-NEPAL.pdf,https://scholar.google.com/scholar?q=related:vC873_Qd9B8J:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
4,"B Braber, KL Evans, JA Oldekop","Impact of protected areas on poverty, extreme poverty, and inequality in Nepal. Conservation Letters, 11 (6), e12576",2018.0,,,,https://scholar.google.com/scholar?cites=11486419180353538646&as_sdt=2005&sciodt=2007&hl=en,219,2025-05-24 10:27:24,CITATION,,,,,,,,4,0.57,1,3,7.0,,,https://scholar.google.com/scholar?q=related:Vso0CmP1Z58J:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
88,"B den Braber, KL Evans, JA Oldekop","Impact of protected areas on poverty, extreme poverty, and inequality in Nepal",2018.0,Conservation Letters,Wiley Online Library,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/conl.12576,https://scholar.google.com/scholar?cites=11660804566349207584&as_sdt=2005&sciodt=2007&hl=en,5,2025-05-24 10:27:24,,10.1111/conl.12576,,,,,,,88,12.57,29,3,7.0,"… direction of PA effects on poverty. Here, we assess how PAs in Nepal influence multiple measures of poverty. We combine national census–derived poverty estimates for 2001 and 2011…",https://conbio.onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12576,https://scholar.google.com/scholar?q=related:IFh_tPh_06EJ:scholar.google.com/&scioq=intitle:poverty+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 1: No Poverty
