Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Nepal,2021,Negotiating Peace,Cambridge University Press,https://doi.org/10.1017/9781108937184.006,,4,2025-05-24 11:58:21,book-chapter,10.1017/9781108937184.006,,,,,149.0,173.0,0,0.0,0,0,4,"This chapter examines the peace process undertaken by the Government of Nepal and the Community Party of Nepal-Maoist (CPN-M). Nepal’s Comprehensive Peace Agreement (CPA), negotiated in the presence of United Nations officials and signed in 2006, does not include an amnesty provision but a commitment to accountability for human rights violations and an agreement to end impunity for such crimes. Yet, as this chapter demonstrates, agreement to include anti-impunity measures in the CPA was driven, not by a commitment to end impunity for human rights violations, but by a desire to avoid criticism from the international actors present during the negotiations. This lack of intention to comply with the human rights terms of the CPA was evident in the negotiating process and has been born out in the post-conflict period, with several successive governments attempting to legislate in favour of introducing amnesty laws. At the same time, a lack of capacity within those local institutions committed to ending impunity for human rights violations, exacerbated by the withdrawal of UN support for their processes, has hampered efforts to combat these impunity measures.",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1D3B45385213664F593692D7F77B9764,,"SDG 16: Peace, Justice and Strong Institutions"
0,,Educational Development and Conflict in Nepal,2022,"Conflict, Education and Peace in Nepal",Bloomsbury Publishing Plc,https://doi.org/10.5040/9781350028784.ch-003,,5,2025-05-24 11:58:21,other,10.5040/9781350028784.ch-003,,,,,45.0,66.0,0,0.0,0,0,3,,,,"SDG 16: Peace, Justice and Strong Institutions"
0,,"India, Nepal",2019,My Struggle for Peace,Indiana University Press,https://doi.org/10.2307/j.ctvfjcxqk.19,,131,2025-05-24 11:58:21,book-chapter,10.2307/j.ctvfjcxqk.19,,,,,1696.0,1702.0,0,0.0,0,0,6,"A checklist of the dragonflies and damselflies occurring in Bangladesh, Bhutan, India (including Andaman and Nicobar Islands), Nepal, Pakistan and Sri Lanka is presented. In total 588 (including 559 full species) taxa are known to occur in the region of which 251 taxa (species subspecies) are single country endemics. Recent taxonomic changes relevant to the area are summarized. Sixteen taxa are synonymized and a checklist of all synonyms established since 1950 is provided. Information is given on available larval descriptions including a list of genera present in the region for which no larvae have yet been described. Numerous species occurring in the area are still poorly known and a list of genera for which a revision is urgently needed is provided.                The following new synonyms are established: Calicnemia sudhaae Mitra, 1994 = Calicnemia imitans Lieftinck, 1948 syn. nov.; Ceriagrion fallax cerinomelas Lieftinck, 1927 = Ceriagrion fallax Ris, 1914 syn. nov.; Ceriagrion fallax pendleburyi Laidlaw, 1931 = Ceriagrion fallax Ris, 1914 syn. nov.; Coenagrion kashmirus Chowdhary Das, 1975 = Ischnura forcipata Morton, 1907 syn. nov.; Enallagma insula Fraser, 1920 = Aciagrion occidentale Laidlaw, 1919 syn. nov.; Himalagrion pithoragarhicum Sahni, 1964 = Ceriagrion fallax Ris, 1914 syn. nov.; Ischnura bhimtalensis Sahni, 1965 = Ischnura rubilio Selys, 1876 syn. nov.; Onychargia indica Sahni, 1964 = Paracercion calamorum (Ris, 1916) syn. nov.; Anaciaeschna kashmirense Singh Baijal, 1954 = Anaciaeschna martini (Selys, 1897) syn. nov.; Cyclogomphus vesiculosus Selys, 1854 = Cyclogomphus ypsilon Selys, 1954 syn. nov.; Chlorogomphus brittoi Navás, 1934 = Chlorogomphus xanthoptera (Fraser, 1919) syn. nov.; Hylaeothemis indica Fraser, 1946 = Hylaeothemis apicalis Fraser, 1924 syn. nov.; Sympetrum durum Bartenef, 1916 = Sympetrum striolatum commixtum Selys, 1884 syn. nov.; Sympetrum himalayanum Navás, 1934 = Sympetrum hypomelas (Selys, 1884) syn. nov.; Sympetrum haematoneura Fraser, 1924 = Sympetrum speciosum Oguma, 1915 syn. nov.; Sympetrum speciosum taiwanum Asahina, 1951 = Sympetrum speciosum Oguma, 1915 syn. nov.                In addition, Periaeschna lebasi Navás, 1930 is regarded a nomen nudum. The following new combinations are proposed: Onychogomphus acinaces Laidlaw, 1922 is transferred to the genus Melligomphus Chao, 1990 resulting in Melligomphus acinaces (Laidlaw, 1922) comb. nov. Onychogomphus saundersii Selys, 1854 is transferred to the genus Nychogomphus Carle, 1986 resulting in Nychogomphus saundersii (Selys, 1854) comb. nov..",,,"SDG 16: Peace, Justice and Strong Institutions"
0,,Peace Audit of Nepal: 2012,2015,Armed Conflicts in South Asia 2013,Routledge India,https://doi.org/10.4324/9781315656304-15,,198,2025-05-24 11:58:21,book-chapter,10.4324/9781315656304-15,,,,,139.0,152.0,0,0.0,0,0,10,,,,"SDG 16: Peace, Justice and Strong Institutions"
0,,Nepal peace deal reduces internal security risk,2021,Emerald Expert Briefings,Emerald,https://doi.org/10.1108/oxan-es260004,,255,2025-05-24 11:58:21,other,10.1108/oxan-es260004,2633-304X,,,,,,0,0.0,0,0,4,Headline: NEPAL: Peace deal reduces internal security risk,https://www.emerald.com/insight/content/doi/10.1108/OXAN-ES260004/full/html,,"SDG 16: Peace, Justice and Strong Institutions"
0,,JuRI-Nepal (Justice and Rights Organization) and Others <i>v.</i> Government of Nepal and Others,2015,International Law Reports,Cambridge University Press (CUP),https://doi.org/10.1017/cbo9781107416062.005,,666,2025-05-24 11:58:21,journal-article,10.1017/cbo9781107416062.005,0309-0671,,158.0,,476.0,540.0,0,0.0,0,0,10,"<jats:p><jats:named-content content-type=""page"" id=""P-nc-476"">476</jats:named-content>Relationship of international law and municipal law — Treaties — Application — Implementation — Human rights treaties — Nepal party to principal human rights instruments — International human rights law — International humanitarian law — Comprehensive Peace Accord ending civil war in Nepal — Interim Constitution of Nepal 1997, Article 33 — Nepal Treaty Act 1990, section 9(1) — Nepalese Supreme Court directive orders — Decisions of regional Human Rights Courts — Serious human rights violations committed during Nepalese conflict — Enforced disappearances — Constitution providing for establishment of Truth and Reconciliation Commission — Ordinance on Investigation of Disappeared People, Truth and Reconciliation Commission — Whether single Commission appropriate — Whether separate Commission to be established to investigate enforced disappearances — Whether restrictions on criminal prosecutions and executive discretion lawful — Ordinance giving Commission power to grant amnesty for serious human rights violations — Prohibition on amnesties for serious human rights violations under international law — Rights of victims under Constitution — Constitutionality of Ordinance — Whether sections 13, 23, 25 and 29 of Ordinance consistent with Articles 12, 13, 26 and 32 of Constitution — Whether Ordinance in breach of Nepal’s international legal obligations — Whether orders of <jats:italic>certiorari</jats:italic> and <jats:italic>mandamus</jats:italic> requested by petitioners to be issued</jats:p><jats:p>Human rights — Gross human rights violations committed during civil war in Nepal — Enforced disappearances — Nepali people seeking justice, truth and reparation — Amnesty — Rights of victims to justice — Right to freedom — Right to equality — Right to a fair trial — Right to remedy — Transitional justice mechanisms — Interim Constitution of Nepal 1997 — Constitution providing for establishment of Truth and Reconciliation Commission — Ordinance on Investigation of Disappeared People, Truth and Reconciliation Commission — Whether single Commission appropriate — Whether separate Commission to be established to investigate enforced disappearances — Whether restrictions on criminal prosecutions and executive discretion lawful — Ordinance giving Commission power to grant amnesty for serious human rights violations — Whether serious human rights violations subject to amnesty — Prohibition on amnesties for serious human rights violations under international law — Constitutionality of Ordinance — Whether sections 13, 23, <jats:named-content content-type=""page"" id=""P-nc-477"">477</jats:named-content>25 and 29 of Ordinance consistent with Articles 12, 13, 26 and 32 of Constitution — Whether Ordinance in breach of Nepal’s international legal obligations</jats:p><jats:p>War and armed conflict — Civil war in Nepal 1996-2006 — Commission of serious human rights violations during conflict — Enforced disappearances — Comprehensive Peace Accord — Interim Constitution of Nepal 2007 — Provision for establishment of Truth and Reconciliation Commission — Transitional justice in Nepal — Ordinance on Investigation of Disappeared People, Truth and Reconciliation Commission — Whether single Commission appropriate — Whether separate Commission to be established to investigate enforced disappearances — Whether restrictions on criminal prosecutions and executive discretion lawful — Ordinance giving Commission power to grant amnesty for serious human rights violations — Whether Ordinance consistent with Constitution — Whether Ordinance in breach of Nepal’s international legal obligations — The law of Nepal</jats:p>",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0309067100003178,,"SDG 16: Peace, Justice and Strong Institutions"
4,Aashish Thapa,Sustainable Development Goal – 6 (clean water and sanitation) Status and Challenges in Nepal,2023,Journey for Sustainable Development and Peace Journal,Nepal Journals Online (JOL),https://doi.org/10.3126/jsdpj.v1i1.52596,,767,2025-05-24 11:58:21,journal-article,10.3126/jsdpj.v1i1.52596,2976-1328,,1.0,1.0,21.0,35.0,4,2.0,4,1,2,"The paper explores access to clean water, proper sanitation and hygiene scenario, and major challenges in the context of Nepal through a review of literature and observation. Clean water and sanitation also fall under Sustainable Development Goal (SDG)- 6. Despite improvements in the past few decades, 3.8 million population has no access to basic water services, and more than 10 million population is still deprived of improved sanitation facilities in Nepal. Poor socio-economic conditions and lack of education have the biggest impact on the current water, sanitation, and hygiene (WASH) scenario across the country. At the same time, the poor functionality status of existing water supply systems, and the impacts of climate-induced disasters such as floods and landslides cannot be underestimated in the light of water, and sanitation.",https://www.nepjol.info/index.php/jsdpj/article/download/52596/39395,,"SDG 16: Peace, Justice and Strong Institutions"
1,Aashish Thapa,Factors Shaping the Landslide Trend in Nepal and their Impact on Human Lives and the Economy,2023,Journey for Sustainable Development and Peace Journal,Nepal Journals Online (JOL),https://doi.org/10.3126/jsdpj.v1i02.58265,,893,2025-05-24 11:58:21,journal-article,10.3126/jsdpj.v1i02.58265,2976-1328,,1.0,2.0,113.0,131.0,1,0.5,1,1,2,"This paper explores the status of landslide occurrence in Nepal, attributing it to a combination of factors such as geographical features, seismic activity, climate conditions, and anthropogenic factors like unregulated road construction. The landslides pose a serious threat to human lives and economic stability, particularly in high-risk areas like the mid-hills and mountain regions of Nepal. Seasonal variations in landslides have been influenced by monsoon activity, while poorly planned and constructed roads exacerbate the issue. The paper aims to highlight the vulnerability of Nepal's geography to landslides through case studies and existing literature. It concludes that landslides result from a complex interplay of geographical, climatic, and anthropogenic elements. To address the situation, the focus should be on sustainable infrastructure development, especially in mid-hills and mountain regions, by considering proper grading and drainage patterns during road construction. This approach can effectively mitigate anthropogenic factors and bring economic benefits to the nation while promoting a safer and more resilient future.",https://www.nepjol.info/index.php/jsdpj/article/download/58265/43510,,"SDG 16: Peace, Justice and Strong Institutions"
0,"Alice Neikirk, Ray Nickson",Transitions without Justice: Bhutanese Refugees in Nepal,2024,The International Journal of Transitional Justice,Oxford University Press (OUP),https://doi.org/10.1093/ijtj/ijae009,,553,2025-05-24 11:58:21,journal-article,10.1093/ijtj/ijae009,1752-7716,,18.0,2.0,267.0,280.0,0,0.0,0,2,1,"ABSTRACT∞: Typically, human rights abusers are widely condemned by the international community in the context of transitional justice. But what happens when the transition to democracy generates refugees that are not permitted to return to what appears to now be a stable, peaceful democracy? This is the case of Bhutan, who forcefully expelled its largest minority community during a period of nation building, then successfully transitioned to democracy without any accountability for the crimes that occurred during that process. While approximately 100,000 Bhutanese refugees in camps awaited some measure of justice and hoped for repatriation, the international community provided them with a democratically grounded education to raise awareness of their rights. But this education was not matched by any pathways to exercise those rights or achieve justice. This article examines how particular challenges to transitional justice are experienced by refugee and diaspora communities, and how current justice structures frequently fail to meet their needs.",https://academic.oup.com/ijtj/article-pdf/18/2/267/58964236/ijae009.pdf,,"SDG 16: Peace, Justice and Strong Institutions"
0,"Alok Atreya, Apurba Acharya, Sudip Paudel, Samata Nepal",Unintended Consequences: A Critical Analysis of Nepals Rape Law Reform and Its Impact on Juvenile Justice,2024,Journal of Nepal Health Research Council,Nepal Health Research Council,https://doi.org/10.33314/jnhrc.v22i02.5315,,832,2025-05-24 11:58:21,journal-article,10.33314/jnhrc.v22i02.5315,1999-6217,,22.0,2.0,450.0,453.0,0,0.0,0,4,1,"The increase of the age of consent to 18, with the Muluki Penal Code that came into effect in 2017, created an unintended burden on the juvenile justice system in Nepal. The amendment, drafted to protect minors from sexual exploitation by adults, resulted in the criminalisation of consensual relationships between adolescents. The surge of inmates aged 16 to 18 years is leading Nepal into a crisis in its juvenile correction centres, with overcrowded facilities, decrepit conditions, and increased violence. This crisis was underlined by three deaths in juvenile correction centres at Bhaktapur, Parsa, and Banke up to September 2023. This article explores the legal, social, and ethical dilemmas generated by Nepal's reforms of rape law and advocates for a more nuanced approach in safeguarding vulnerable populations without moralising normal adolescent sexual conduct. This approach is based on the consideration of pending challenges for the juvenile justice system and the development of strategies to reconcile child protection goals with the realities of adolescents' relationships.Keywords: Informed consent; juvenile delinquency; Nepal; rape.",,,"SDG 16: Peace, Justice and Strong Institutions"
