Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
23,"A Acharya, S Subedi, N Gyawali…","Digital learning initiatives, challenges and achievement in higher education in Nepal amidst COVID-19",2021.0,… Asian Education,ijae.journal-asia.education,https://ijae.journal-asia.education/index.php/data/article/download/224/127,https://scholar.google.com/scholar?cites=11804560320445585464&as_sdt=2005&sciodt=2007&hl=en,125,2025-05-24 12:46:31,PDF,,,,,,,,23,5.75,6,4,4.0,"… , and Nepal is no exception. This research intends to assess the practicality of online education … A cross-sectional study was directed among HEIs students in Nepal using selfstructured …",https://ijae.journal-asia.education/index.php/data/article/download/224/127,https://scholar.google.com/scholar?q=related:OJjUdRE50qMJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
12,"A Castellsagué, S Carrasco","Development, education and gender: challenging the empowerment rhetoric from an ethnographic study in rural Nepal",2021.0,Ethnography and Education,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/17457823.2020.1764856,https://scholar.google.com/scholar?cites=16199584503845189072&as_sdt=2005&sciodt=2007&hl=en,105,2025-05-24 12:46:31,,10.1080/17457823.2020.1764856,,,,,,,12,3.0,6,2,4.0,"… In Nepal, such hegemonic view of development has been embraced and transferred to the education system, consolidating both education and women as essential targets in …",https://www.academia.edu/download/104128216/17457823.2020.176485620230709-1-76c5si.pdf,https://scholar.google.com/scholar?q=related:0HWd9EZ80OAJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
33,"A Daly, S Parker, S Sherpa, U Regmi",Federalisation and education in Nepal: Contemporary reflections on working through change,2020.0,Education 3-13,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/03004279.2019.1599408,https://scholar.google.com/scholar?cites=15378668365898249243&as_sdt=2005&sciodt=2007&hl=en,8,2025-05-24 12:46:31,,10.1080/03004279.2019.1599408,,,,,,,33,6.6,8,4,5.0,"… education in Nepal in the context of federalisation. Public administration of services including education … an opportunity for improved coordination of education, health and social work at …",http://researchonline.ljmu.ac.uk/id/eprint/10541/1/Daly%20A%20et%20al.%20%282019%29%20Copy%20of%20Main%20Document%20Federalisation%20and%20Education%20Nepal.pdf,https://scholar.google.com/scholar?q=related:G_TmK2YBbNUJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
44,A Kölbel,"(De) valuing higher education: educated youth, generational differences and a changing educational landscape in Kathmandu, Nepal",2017.0,"Space, Place and Scale in the Study of Education",taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315652443-11/de-valuing-higher-education-educated-youth-generational-differences-changing-educational-landscape-kathmandu-nepal-andrea-k%C3%B6lbel,https://scholar.google.com/scholar?cites=5517349395318255588&as_sdt=2005&sciodt=2007&hl=en,95,2025-05-24 12:46:31,,10.4324/9781315652443-11/de-valuing-higher-education-educated-youth-generational-differences-changing-educational-landscape-kathmandu-nepal-andrea-k%C3%B6lbel,,,,,,,44,5.5,44,1,8.0,"… generation Nepal has seen a tremendous increase in higher education opportunities… education. Building on interdisciplinary research into youth geographies, the sociology of education …",,https://scholar.google.com/scholar?q=related:5C-p-QqQkUwJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
22,"A Linn, P Shrestha, A Bezborodova, AK Hultgren","Current practice in English-medium education in higher education: Case studies from Kazakhstan, Turkmenistan, Bangladesh and Nepal",2021.0,,oro.open.ac.uk,https://oro.open.ac.uk/79649/,https://scholar.google.com/scholar?cites=9099026884820329051&as_sdt=2005&sciodt=2007&hl=en,200,2025-05-24 12:46:31,,,,,,,,,22,5.5,6,4,4.0,"… Nepal, he has extensive experience of working in English language education in South Asia (Bangladesh, India, Nepal … , language teacher education and educational technologies and …",https://oro.open.ac.uk/79649/1/Current%20practice%20in%20English-medium_FINAL.pdf,https://scholar.google.com/scholar?q=related:W-JxN748Rn4J:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
2,A Neupane,Practices of Open and Distance Education in Nepal: Opportunities and Challenges,2021.0,Interdisciplinary Research in Education,nepjol.info,https://nepjol.info/index.php/ire/article/view/43423,https://scholar.google.com/scholar?cites=8695325323288510019&as_sdt=2005&sciodt=2007&hl=en,103,2025-05-24 12:46:31,,,,,,,,,2,0.5,2,1,4.0,The purpose of this study was to explore the opportunities and challenges of open and distance learning (ODL) system and to explore the gateway for the implementation of ODL to …,https://nepjol.info/index.php/ire/article/download/43423/32963,https://scholar.google.com/scholar?q=related:Q_4RzU8ArHgJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
116,"A Osei, P Pandey, J Nielsen, A Pries…",… education program targeted to families with young children improved anemia among children and anemia and underweight among nonpregnant women in Nepal,2017.0,Food and nutrition …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0379572116676427,https://scholar.google.com/scholar?cites=3578426869882114325&as_sdt=2005&sciodt=2007&hl=en,190,2025-05-24 12:46:31,,10.1177/0379572116676427,,,,,,,116,14.5,23,5,8.0,"… of other studies in Bangladesh, Philippines, and Nepal, 13 adding to the evidence that food-… practice in most rural communities in Nepal, our results revealed significant improvement in …",https://journals.sagepub.com/doi/full/10.1177/0379572116676427,https://scholar.google.com/scholar?q=related:FVEJYkcgqTEJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
6,A Seki,Observation on English education in Nepal,2015.0,,repository.tku.ac.jp,https://repository.tku.ac.jp/dspace/handle/11150/7953,https://scholar.google.com/scholar?cites=16148361206926120306&as_sdt=2005&sciodt=2007&hl=en,52,2025-05-24 12:46:31,,,,,,,,,6,0.6,6,1,10.0,… of Education of Nepal and conducted uniformly across Nepal… Secondary Education Board) school curriculum of Nepal take … (Central Board of Secondary Education) of India taught in …,https://repository.tku.ac.jp/dspace/bitstream/11150/7953/1/jinbun137-06.pdf,https://scholar.google.com/scholar?q=related:cpWHw_WAGuAJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
1,"A Thapa, M Izawa","Returns to education in Nepal: an analysis of educational attainment, employability and social mobility",2024.0,Education Economics,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/09645292.2024.2351882,https://scholar.google.com/scholar?cites=9674262693716651129&as_sdt=2005&sciodt=2007&hl=en,53,2025-05-24 12:46:31,,10.1080/09645292.2024.2351882,,,,,,,1,1.0,1,2,1.0,… education benefits all social groups and contributes to reducing economic inequality. Nepal is the focus of very few economics of education … private returns to education using the most …,,https://scholar.google.com/scholar?q=related:eWzL2qniQYYJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
6,"A Thapa, U Maharjan",Higher education and economic development in Nepal,2019.0,Higher Education in Nepal,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351139205-2/higher-education-economic-development-nepal-amrit-thapa-ujjwala-maharjan,https://scholar.google.com/scholar?cites=2483448612079984668&as_sdt=2005&sciodt=2007&hl=en,177,2025-05-24 12:46:31,,10.4324/9781351139205-2,,,,,,,6,1.0,3,2,6.0,… This chapter investigates the role of higher education in the context of the economic development in Nepal. The Nepalese education system has evolved through different phases in the …,,https://scholar.google.com/scholar?q=related:HOD21Fr7diIJ:scholar.google.com/&scioq=intitle:education+intitle:nepal&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2024,SDG 4: Quality Education
