Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
1,,Fighting Inequality in Nepal: The road to prosperity,2018,,"Oxfam, Humanitarian Accountability Monitoring Initiative (HAMI), South Asia Alliance for Poverty Eradication (SAAPE)",https://doi.org/10.21201/2019.3903,,3,2025-05-24 11:18:30,report,10.21201/2019.3903,,,,,,,1,0.14,0,0,7,,,,SDG 10: Reduced Inequalities
0,,Spatial-horizontal inequality and the Maoist conflict in Nepal,2021,"Essays on Civil War, Inequality and Underdevelopment",Agenda Publishing,https://doi.org/10.1017/9781788213752.013,,10,2025-05-24 11:18:30,other,10.1017/9781788213752.013,,,,,197.0,212.0,0,0.0,0,0,4,,,,SDG 10: Reduced Inequalities
0,,SPATIAL-HORIZONTAL INEQUALITY AND THE MAOIST CONFLICT IN NEPAL,2021,"Essays on Civil War, Inequality and Underdevelopment",Agenda Publishing,https://doi.org/10.2307/j.ctv1mvw8v6.16,,16,2025-05-24 11:18:30,book-chapter,10.2307/j.ctv1mvw8v6.16,,,,,197.0,212.0,0,0.0,0,0,4,,,,SDG 10: Reduced Inequalities
0,,Caste-Based Discrimination: Socio-Economic Impact to Dalit Community in Nepal,2023,American Research Journal of Humanities and Social Sciences,American Research Journals,https://doi.org/10.21694/2378-7031.23009,,20,2025-05-24 11:18:30,journal-article,10.21694/2378-7031.23009,2378-7031,,9.0,1.0,,,0,0.0,0,0,2,,,,SDG 10: Reduced Inequalities
0,,"Review for ""Cross‐border mobility, inequality and migration intermediaries: Labour migration from Nepal to Malaysia""",2023,,Wiley,https://doi.org/10.1111/imig.13232/v1/review2,,38,2025-05-24 11:18:30,peer-review,10.1111/imig.13232/v1/review2,,,,,,,0,0.0,0,0,2,"This article aims to contribute to labour recruitment policy by demonstrating the relations between cross‐border mobility and inequality through the lens of migration intermediaries. Drawing on thematic analysis of the MIDEQ project's in‐depth interviews with Nepalese labour migrants (n = 20) in Malaysia, this research reveals the range of migration intermediaries along the recruitment chain, and shows contradictory roles played by migration intermediaries: they help migrant workers access employment and other opportunities thus overcoming inequality in mobility, whilst simultaneously reproducing socio‐economic inequalities and the unequal power relations experienced by migrants. Hence, we identify a “middle space effect” that links migration processes with migration outcomes, reconstructing socio‐economic inequalities in mediated migration. We highlight the role of state policies regarding migration and labour in co‐producing such inequalities, and the embeddedness of middle space intermediaries in unequal global power dynamics, and we offer policy suggestions on regulation of labour recruitment and employment.",,,SDG 10: Reduced Inequalities
0,,"Review for ""Cross‐border mobility, inequality and migration intermediaries: Labour migration from Nepal to Malaysia""",2023,,Wiley,https://doi.org/10.1111/imig.13232/v2/review1,,40,2025-05-24 11:18:30,peer-review,10.1111/imig.13232/v2/review1,,,,,,,0,0.0,0,0,2,"This article aims to contribute to labour recruitment policy by demonstrating the relations between cross‐border mobility and inequality through the lens of migration intermediaries. Drawing on thematic analysis of the MIDEQ project's in‐depth interviews with Nepalese labour migrants (n = 20) in Malaysia, this research reveals the range of migration intermediaries along the recruitment chain, and shows contradictory roles played by migration intermediaries: they help migrant workers access employment and other opportunities thus overcoming inequality in mobility, whilst simultaneously reproducing socio‐economic inequalities and the unequal power relations experienced by migrants. Hence, we identify a “middle space effect” that links migration processes with migration outcomes, reconstructing socio‐economic inequalities in mediated migration. We highlight the role of state policies regarding migration and labour in co‐producing such inequalities, and the embeddedness of middle space intermediaries in unequal global power dynamics, and we offer policy suggestions on regulation of labour recruitment and employment.",,,SDG 10: Reduced Inequalities
0,,"Review for ""Cross‐border mobility, inequality and migration intermediaries: Labour migration from Nepal to Malaysia""",2023,,Wiley,https://doi.org/10.1111/imig.13232/v3/review2,,41,2025-05-24 11:18:30,peer-review,10.1111/imig.13232/v3/review2,,,,,,,0,0.0,0,0,2,,,,SDG 10: Reduced Inequalities
0,,"Review for ""Cross‐border mobility, inequality and migration intermediaries: Labour migration from Nepal to Malaysia""",2023,,Wiley,https://doi.org/10.1111/imig.13232/v4/review1,,43,2025-05-24 11:18:30,peer-review,10.1111/imig.13232/v4/review1,,,,,,,0,0.0,0,0,2,,,,SDG 10: Reduced Inequalities
0,,"Disability, Poverty and Inequality: A Case Study in Nepal",2015,"Disability, Education and Employment in Developing Countries",Cambridge University Press,https://doi.org/10.1017/cbo9781107565265.008,,149,2025-05-24 11:18:30,book-chapter,10.1017/cbo9781107565265.008,,,,,134.0,171.0,0,0.0,0,0,10,"Poverty is a global phenomenon. Irrespective of disability status, there is a significant difference between poverty and all other human conditions. The International Labor Organization (ILO) has stated that poverty and prosperity are two opposite poles which do not go in the same direction: poverty anywhere constitutes a danger to prosperity everywhere (ILO 1944). Poverty creates a huge gap among people living in the same society. Perhaps in recognition that poverty imposes a global threat, the Millennium Development Goals (MDGs), which come to an end formally in 2015, have made it a top priority in improving the quality of life of people across the globe.",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8F49556E704580AEC59CC3B9AA1BFD76,,SDG 10: Reduced Inequalities
1,,Socio-Cultural inequality in women’s health service utilization in Nepal,2017,Asia-Pacific Population Journal,United Nations Publications,https://doi.org/10.18356/5ac50c07-en,,164,2025-05-24 11:18:30,journal-article,10.18356/5ac50c07-en,1564-4278,,31.0,2.0,45.0,73.0,1,0.13,0,0,8,"This paper investigates caste/ethnicity based inequity in women’s health service utilization, particularly focusing on antenatal care (ANC) in the socioculturally complex patriarchal context of Nepal. Numerous studies worldwide have examined the effects of various factors contributing to antenatal care. However, much less is known about the influence of caste/ ethnicity on women’s health-care utilization in Nepal. Using the nationally representative Nepal Demographic Health Survey (NDHS) Data 2011, a multilevel logistic regression was run with results suggesting that both non-economic (caste/ethnicity) and economic (household wealth) factors influence women’s health-care utilization. First, women who belong to a disadvantaged caste/ethnicity such as the Hill Janajati, Hill and Terai Dalit and Muslims are significantly less likely to make four plus antenatal care visits compared to the advantaged Bahun/Chhetri mothers. Second, mothers who belong to the wealthier category are significantly advantaged in terms of using antenatal care services compared to the poorest category of mothers. Third, contrary to the common assumption, mothers from the advantaged caste/ethnicity (Bahun/Chhetri and Newar) do not always fare better in all aspects of life; when from the poorest households, they are not significantly different in terms of antenatal care compared the poorest mothers who are from a disadvantaged caste/ethnicity. These findings offer evidence against the misassumption that individuals of advantaged caste/ ethnicities are always privileged, suggesting that health policies should take into account the intertwining effects of both caste/ethnicity and economic status in order to improve women’s health and well-being.",,,SDG 10: Reduced Inequalities
0,,"No Way Out: Women in Nepal Trapped in Cycles of Poverty, Gender Inequality, and Economic Disenfranchisement",2020,Gender and Development: The Economic Basis of Women’s Power,"SAGE Publications, Inc.",https://doi.org/10.4135/9781544381190.n14,,252,2025-05-24 11:18:30,book-chapter,10.4135/9781544381190.n14,,,,,205.0,220.0,0,0.0,0,0,5,,,,SDG 10: Reduced Inequalities
0,,Nepal – Western Nepal earthquake: Urgent call for assistance,2024,,FAO,https://doi.org/10.4060/cd0519en,,474,2025-05-24 11:18:30,report,10.4060/cd0519en,,,,,,,0,0.0,0,0,1,,,,SDG 10: Reduced Inequalities
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,542,2025-05-24 11:18:30,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,SDG 10: Reduced Inequalities
0,,INTRODUCTION TO NEPAL,2022,Plant-Based Himalaya,Red Lightning Books,https://doi.org/10.2307/j.ctv27tcv11.4,,559,2025-05-24 11:18:30,book-chapter,10.2307/j.ctv27tcv11.4,,,,,1.0,20.0,0,0.0,0,0,3,,,,SDG 10: Reduced Inequalities
