Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Fishery Production and Development Perspective of Nepal,2017,Journal of Aquatic Research and Marine Sciences,Northern California Open Access Publications,https://doi.org/10.29199/arms.101012,,1,2025-05-24 11:33:57,journal-article,10.29199/arms.101012,,,,,1.0,4.0,0,0.0,0,0,8,"The purpose of this paper was to analyze the Nepal fishery production and its current development status.In the year 2016, domestic production increased by 59 times more than the year 1960.Nepal import amounting NRS 5.4 billion fishery from 26 nations from last 7 years.Most of the fishery import from India that was 92% and Vietnam 6% in total monetary value.Nepal export fishery amounting NRS 12.1 million to 4 nations.Most of the fishery export to China that was 76% and India 23% in total monetary value.Nepal has 1.1 Billion NRS trade deficit from a fishery in the year 2016.Nepal needs to grow more fisheries by adopting modern technology and utilizing available resources so that, it in near future it will help reduce the trade deficit and become self-sufficient in the fisheries sector.",,,SDG 12: Responsible Consumption and Production
0,,"Towards Cleaner Brick Production Design Workshop for Gender and Social Action Research, 25 July 2018 Kathmandu, Nepal - Workshop Report",2018,,International Centre for Integrated Mountain Development (ICIMOD),https://doi.org/10.53055/icimod.896,,41,2025-05-24 11:33:57,report,10.53055/icimod.896,,,,,,,0,0.0,0,0,7,,,,SDG 12: Responsible Consumption and Production
1,,Gender and labour efficiency in finger millet production in Nepal,2016,Transforming Gender and Food Security in the Global South,Routledge,https://doi.org/10.4324/9781315564111-12,,62,2025-05-24 11:33:57,book-chapter,10.4324/9781315564111-12,,,,,100.0,119.0,1,0.11,0,0,9,"Finger millet is one of the major crops grown under the maize-millet cropping system in the hills of Nepal. It is an important crop for Nepal's upland farmers because it is a climate-smart crop that withstands environmental adversities and can be cultivated in rain-fed marginal lands with minimum or low external inputs (Joshi et al. 2002; Adhikari 2012). It is a rich and inexpensive source of dietary fibre, iron, calcium, and zinc (NARC 2005; Dida and Devos 2006; Mal et al. 2010). The role of finger millet as a cheap source of valuable nutrients becomes more prominent in a country like Nepal, where 25 percent of the population makes less than US$1.25 per day and where the indicators of human development and food security – such as life expectancy (69 years), child mortality (50 children U5/1,000 live births), underweight child (38.6 percent), maternal mortality (170 women/ 100,000 live births), and adult literacy (60 percent) – are dismal at regional as well as global levels. However, farmers are progressively losing interest in finger millet cultivation because of its tedious and labour-intensive agronomic practices and post-harvest operations. Moreover, it is neglected in the national research and extension system and generally perceived as a low-status food crop in Nepal.",,,SDG 12: Responsible Consumption and Production
0,,Zero tillage impacts on economics of wheat production in far western Nepal,2018,Farming &amp; Management,Gaurav Publications,https://doi.org/10.31830/2456-8724.2018.0002.14,,95,2025-05-24 11:33:57,journal-article,10.31830/2456-8724.2018.0002.14,2455-4065,,3.0,2.0,,,0,0.0,0,0,7,"The crop productivity of far western region of Nepal is lower than that of the other regions of Nepal. The existing cultivation practices of this research area are conventional tillage (CT). Zero tillage (ZT) has been found as an effective crop management practice to rejuvenate soil fertility and increase crop yield. This research was conducted at Masuriya, Kailali district, the outreach site of Regional Agriculture Research Station (RARS), Doti, Nepal during October 2017 to March 2018 with the objective of identifying suitable tillage practice for high wheat crop profitability. ZT and CT were used as two treatments in 11 farmers’ fields. Seed-cum-fertilizer drill machine was used in ZT, whereas CT as farmers’ practice and field data as well as farmers’ perceptions were collected for analysis. The results revealed that farmers saved 10% human labour, 41.67% machinery labour and 25% seed amount in ZT compared to CT method. The net return of wheat was NRs. 54, 255.5/ha in ZT and NRs. 39298/ha in CT method of wheat production. The benefit: cost ratio was found 2.38 in ZT compared to 1.83 in CT which is 23.64% more over CT method. Similarly, grain yield was found to be increased by 6.28% in ZT method. Farmers who had adopted ZT method of wheat cultivation were found interested for the continuation of this technology in future too. The ZT technology is an important alternative to save the scare resources and reduce the cost of production and enhance the net farm income with higher benefit: cost ratio.",,,SDG 12: Responsible Consumption and Production
0,,Economics of Cereal and Vegetable Crops under Organic and Conventional Production Systems in Nepal,2022,Agricultural Extension Journal,BRNSS Publication Hub,https://doi.org/10.22377/aextj.v6i3.317,,106,2025-05-24 11:33:57,journal-article,10.22377/aextj.v6i3.317,2582-564X,,6.0,3.0,,,0,0.0,0,0,3,"Chemical fertilizers have a great contribution in agricultural production in Nepal. So far, only about 50% of total demand for chemical fertilizer has been met. Government has been providing subsidy protecting farmers from high cost of imported fertilizers. However, the supply of chemical fertilizer is not smoothened as expected. With the tragedy of different problems of fertilizer importation, distribution, and use, stakeholders have started thinking organic production as an alternative of conventional agriculture in Nepal. However, transforming from conventional to organic agriculture is questioned because of conflicting finding regarding the real profitability of organic production technique. Responding to the situation, a study was conducted to analyze comparative economics of organic and conventional production system using gross margin and cost-benefit analysis covering five selected crops (rice, tomato, potato, bitter gourd, and cauliflower). The study was carried out by random sampling of 250 producers where 200 were conventional and 50 organic farms from five rural/municipalities of Sindhupalchhok, Dhading, Gorkha, Chitwan, and Rupandehi districts. Estimated gross margins and benefit cost analysis indicated that organic products are as profitable as conventional products except in tomato. In overall, vegetables were more profitable than cereals both for organic and conventional systems.",,,SDG 12: Responsible Consumption and Production
0,,Nepal – Western Nepal earthquake: Urgent call for assistance,2024,,FAO,https://doi.org/10.4060/cd0519en,,135,2025-05-24 11:33:57,report,10.4060/cd0519en,,,,,,,0,0.0,0,0,1,,,,SDG 12: Responsible Consumption and Production
0,,"Agriculture Production and Food Security in State Number Five, Nepal",2018,International Journal of Research in Environmental Science,ARC Publications Pvt Ltd.,https://doi.org/10.20431/2454-9444.0401010,,150,2025-05-24 11:33:57,journal-article,10.20431/2454-9444.0401010,2454-9444,,4.0,1.0,,,0,0.0,0,0,7,"Agriculture is the bases of livelihood, a major sector of employment and the major source of GDP of Nepal.Nepalese agriculture is subsistence in nature and the situation of the state five is also the same.Out of twelve districts of the state, each of the six districts have less than 20 percent agricultural land of the total area of the district.Within the available agricultural land, temporary crops which primarily include cereal crops have dominated as permanent crops have covered less than five percent of the total area in most of the districts.Paddy, maize, wheat and millet are the major crops.Out of the total production of cereals, paddy share about 52 percent.In addition, major cash crops include oilseeds, sugarcane, ginger and coffee of which ginger and coffee are primarily grown in Hill districts and rest in the Tarai districts.Crop productivity is low and vary by district.The province is food secure in terms of total production.However, a few districts namely Banke, Rolpa, Pyuthan, and Nawalparasihave negative food balance.",,,SDG 12: Responsible Consumption and Production
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,255,2025-05-24 11:33:57,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,SDG 12: Responsible Consumption and Production
0,,INTRODUCTION TO NEPAL,2022,Plant-Based Himalaya,Red Lightning Books,https://doi.org/10.2307/j.ctv27tcv11.4,,263,2025-05-24 11:33:57,book-chapter,10.2307/j.ctv27tcv11.4,,,,,1.0,20.0,0,0.0,0,0,3,,,,SDG 12: Responsible Consumption and Production
0,,Deaf in a “New Nepal”,2016,Signing and Belonging in Nepal,Gallaudet University Press,https://doi.org/10.2307/j.ctv2rh2bgf.10,,286,2025-05-24 11:33:57,book-chapter,10.2307/j.ctv2rh2bgf.10,,,,,109.0,116.0,0,0.0,0,0,9,"An electrically conductive metal typically transmits or absorbs a spin current. Here, we report on evidence that interfacing two metal thin films can suppress spin transmission and absorption. We examine spin pumping in spin-source/spacer/spin-sink heterostructures, where the spacer consists of metallic Cu and Cr thin films. The Cu/Cr spacer largely suppresses spin pumping—i.e., neither transmitting nor absorbing a significant amount of spin current—even though Cu or Cr alone transmits a sizable spin current. The antiferromagnetism of Cr is not essential for the suppression of spin pumping, as we observe similar suppression with Cu/V spacers with V as a nonmagnetic analog of Cr. We speculate that diverse combinations of spin-transparent metals may form interfaces that suppress spin pumping, although the underlying mechanism remains unclear. Our work may stimulate a new perspective on spin transport in metallic multilayers.",,,SDG 12: Responsible Consumption and Production
0,,Nepal Development Update: International Migration and Well-being in Nepal,2024,,"Washington, DC: World Bank",https://doi.org/10.1596/42340,,321,2025-05-24 11:33:57,book,10.1596/42340,,,,,,,0,0.0,0,0,1,,,,SDG 12: Responsible Consumption and Production
0,,Nepal and the Pax Britannica,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.10,,360,2025-05-24 11:33:57,book-chapter,10.2307/jj.2430549.10,,,,,151.0,174.0,0,0.0,0,0,2,,,,SDG 12: Responsible Consumption and Production
0,,Nepal,2019,The Statesman’s Yearbook Companion,Palgrave Macmillan UK,https://doi.org/10.1057/978-1-349-95839-9_1439,,395,2025-05-24 11:33:57,book-chapter,10.1057/978-1-349-95839-9_1439,,,,,747.0,748.0,0,0.0,0,0,6,"Floods, earthquakes, forest fires, landslides, and other natural hazard are common in Nepal. Among them, the flood is one of the natural disasters and that occurred in the Narayani River basin. The Narayani River Basin's exposures and vulnerabilities are at danger from a flood catastrophe of this kind, hence this studies attempts to reduce and control the risk of flooding in order to better manage disasters. The factors of flood hazard, flood exposures, and flood vulnerability are investigated as part of the ward-level flood risk assessment, which aims to prevent and manage the flood disaster. The hydraulic model (HEC-RAS) for the 2018 flood event was used in this study to create the GIS- based modeling of the flood inundation maps. Additionally, it calculated the various return periods for floods in the river basin—5, 10, 25, 50, 75, and 100 years. Furthermore, the flood extent was confirmed using the flood map produced by the Google Earth Engine (GEE) using remotely sensed techniques. For Hydraulic modelling, ALOS/PALSAR Digital Elevation Model (12.5m.) spatial resolution was used. In addition, RAS-MAPPER generated the geometric data for the hydraulic modeling, which was then transferred into HEC-RAS. This data included the cross-section, flow route, streamline, and bank lines. On both sides of the river, the necessary Manning value ""n"" values were computed for every cross-section. The steady-flow models of the anticipated flood hydrographs were created using the hydraulic model. Google Earth Engine (GEE) flood maps generated from Sentinel-1C radar satellite data were used to validate the results for the 2018 flood events. When comparing the simulated result's flood inundation area with the remote sensing data's flood area, the overlap area for the 2018 flood event is 65%. Additionally, the flood area is verified. In addition, the hydraulic model generated flow conditions for 5, 10, 25, 50, 75, and 100 year return periods. The river basin's surface water level and flood extent are both progressively rising. In order to effectively manage and prepare for potential flood hazards in the study area, an analysis of the flood risk assessment was conducted by taking into consideration three primary factors: the flood hazard map, flood exposure, and flood vulnerability. The layers of the population, crops, schools, hospitals, and road network were all exposed to flooding, and the factors that determined flood vulnerabilities were literacy, urban area, and agecomposition (less than 14 and more than 65). The higher flood risk area was found in Ward number 1, 3, 4,16,18,26 of Bharatpur metropolitan, Gaindakot municipality ward number 1 and 12, 15 of Madhyabindu Municipality.",http://link.springer.com/content/pdf/10.1057/978-1-349-95839-9_1439,,SDG 12: Responsible Consumption and Production
0,,Parthenium weed - Nepal.,2019,PlantwisePlus Knowledge Bank,CABI Publishing,https://doi.org/10.1079/pwkb.20197800521,,397,2025-05-24 11:33:57,dataset,10.1079/pwkb.20197800521,,,,,,,0,0.0,0,0,6,,,,SDG 12: Responsible Consumption and Production
