Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
0,,Map of Nepal,2023,Glimpses of Hope,Berghahn Books,https://doi.org/10.1515/9781800738119-003,,5,2025-05-24 11:25:52,book-chapter,10.1515/9781800738119-003,,,,,,,0,0.0,0,0,2,,https://www.degruyter.com/document/doi/10.1515/9781800738119-003/xml,,SDG 11: Sustainable Cities and Communities
0,,"Urban food system and nutrition assessment in Pokhara, Nepal",2022,,FAO,https://doi.org/10.4060/cb8620en,,6,2025-05-24 11:25:52,edited-book,10.4060/cb8620en,,,,,,,0,0.0,0,0,3,,http://www.fao.org/3/cb8620en/cb8620en.pdf,,SDG 11: Sustainable Cities and Communities
0,,"Urban food system and nutrition assessment in Kathmandu, Nepal",2022,,FAO,https://doi.org/10.4060/cb8630en,,7,2025-05-24 11:25:52,edited-book,10.4060/cb8630en,,,,,,,0,0.0,0,0,3,,http://www.fao.org/3/cb8630en/cb8630en.pdf,,SDG 11: Sustainable Cities and Communities
0,,Case Study Theme 6: Youth and Urban Planning - Nepal and Kenya,2017,,Commonwealth Secretariat,https://doi.org/10.14217/9781848599581-31-en,,16,2025-05-24 11:25:52,component,10.14217/9781848599581-31-en,,,,,,,0,0.0,0,0,8,,,,SDG 11: Sustainable Cities and Communities
0,,1. Creating Nepal in the Kathmandu Valley,2020,Reigning the River,Duke University Press,https://doi.org/10.1515/9780822394525-005,,69,2025-05-24 11:25:52,book-chapter,10.1515/9780822394525-005,,,,,42.0,56.0,0,0.0,0,0,5,,https://www.degruyter.com/view/book/9780822394525/10.1515/9780822394525-005.xml,,SDG 11: Sustainable Cities and Communities
0,,Urban Development in the Kohalpur Region of Nepal: A Historical Study,2024,Hong Kong Journal of Social Sciences,Science Press,https://doi.org/10.55463/hkjss.issn.1021-3619.63.29,,86,2025-05-24 11:25:52,journal-article,10.55463/hkjss.issn.1021-3619.63.29,1021-3619,,,63.0,,,0,0.0,0,0,1,,,,SDG 11: Sustainable Cities and Communities
0,,Perception of Sports and Sports University among Urban Residents in Nepal,2024,Hong Kong Journal of Social Sciences,Science Press,https://doi.org/10.55463/hkjss.issn.1021-3619.64.25,,89,2025-05-24 11:25:52,journal-article,10.55463/hkjss.issn.1021-3619.64.25,1021-3619,,,64.0,,,0,0.0,0,0,1,,,,SDG 11: Sustainable Cities and Communities
0,,Urban Development in the Kohalpur Region of Nepal: A Historical Study,2023,Hong Kong Journal of Social Sciences,Science Press,https://doi.org/10.55463/hkjss.issn.1021-3619.62.76,,95,2025-05-24 11:25:52,journal-article,10.55463/hkjss.issn.1021-3619.62.76,1021-3619,,,62.0,,,0,0.0,0,0,2,,,,SDG 11: Sustainable Cities and Communities
0,,"Atmospheric organochlorine pesticides and polychlorinated biphenyls in urban areas of Nepal: spatial variation, sources, temporal trends and long range transport potential by Pokhrel et al",2017,,Copernicus GmbH,https://doi.org/10.5194/acp-2017-448-sc2,,139,2025-05-24 11:25:52,peer-review,10.5194/acp-2017-448-sc2,,,,,,,0,0.0,0,0,8,"Recent study entitled ""Atmospheric organochlorine pesticides and polychlorinated biphenyls in urban areas of Nepal: spatial variation, sources, temporal trends and long-range transport potential by Pokhrel et al"" is a good effort to address the issue of organic pollutants in one of the less discovered region (Nepal) located between world's two most populous countries India and China.My concerns are: 1) In my opinion, Hetauda is not an agricultural city; rather it is an industrial estate",,,SDG 11: Sustainable Cities and Communities
0,,Nepal – Western Nepal earthquake: Urgent call for assistance,2024,,FAO,https://doi.org/10.4060/cd0519en,,212,2025-05-24 11:25:52,report,10.4060/cd0519en,,,,,,,0,0.0,0,0,1,,,,SDG 11: Sustainable Cities and Communities
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,300,2025-05-24 11:25:52,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,SDG 11: Sustainable Cities and Communities
0,,THE KINGDOM OF NEPAL,2023,Landownership in Nepal,University of California Press,https://doi.org/10.2307/jj.2430518.5,,303,2025-05-24 11:25:52,book-chapter,10.2307/jj.2430518.5,,,,,1.0,14.0,0,0.0,0,0,2,,,,SDG 11: Sustainable Cities and Communities
0,,Deaf in a “New Nepal”,2016,Signing and Belonging in Nepal,Gallaudet University Press,https://doi.org/10.2307/j.ctv2rh2bgf.10,,321,2025-05-24 11:25:52,book-chapter,10.2307/j.ctv2rh2bgf.10,,,,,109.0,116.0,0,0.0,0,0,9,"An electrically conductive metal typically transmits or absorbs a spin current. Here, we report on evidence that interfacing two metal thin films can suppress spin transmission and absorption. We examine spin pumping in spin-source/spacer/spin-sink heterostructures, where the spacer consists of metallic Cu and Cr thin films. The Cu/Cr spacer largely suppresses spin pumping—i.e., neither transmitting nor absorbing a significant amount of spin current—even though Cu or Cr alone transmits a sizable spin current. The antiferromagnetism of Cr is not essential for the suppression of spin pumping, as we observe similar suppression with Cu/V spacers with V as a nonmagnetic analog of Cr. We speculate that diverse combinations of spin-transparent metals may form interfaces that suppress spin pumping, although the underlying mechanism remains unclear. Our work may stimulate a new perspective on spin transport in metallic multilayers.",,,SDG 11: Sustainable Cities and Communities
0,,Nepal Development Update: International Migration and Well-being in Nepal,2024,,"Washington, DC: World Bank",https://doi.org/10.1596/42340,,344,2025-05-24 11:25:52,book,10.1596/42340,,,,,,,0,0.0,0,0,1,,,,SDG 11: Sustainable Cities and Communities
0,,Nepal and the Pax Britannica,2023,Nepal,University of California Press,https://doi.org/10.2307/jj.2430549.10,,371,2025-05-24 11:25:52,book-chapter,10.2307/jj.2430549.10,,,,,151.0,174.0,0,0.0,0,0,2,,,,SDG 11: Sustainable Cities and Communities
