Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,SDG
1,Smriti Mallapaty,Lone hunger striker spurs Nepal to action,2014,Nature,Springer Science and Business Media LLC,https://doi.org/10.1038/506279a,,1,2025-05-25 11:30:37,journal-article,10.1038/506279a,0028-0836,,506.0,7488.0,279.0,279.0,1,0.09,1,1,11,,https://www.nature.com/articles/506279a.pdf,,SDG 2: Zero Hunger
0,"Neetu Pokharel, Som Prasad Niroula, Tiina Seppälä","Dissenting civil society, hunger strikes, and the transitional justice process in Nepal",2022,Civil Disobedience from Nepal to Norway,Routledge India,https://doi.org/10.4324/9781003320494-12,,2,2025-05-25 11:30:37,book-chapter,10.4324/9781003320494-12,,,,,160.0,176.0,0,0.0,0,3,3,"This chapter examines the Transitional Justice movement in Nepal that seeks justice for victims of human rights violations and crimes committed during the internal armed conflict (1996–2006) of which only a small fraction has been properly investigated or prosecuted. To combat the culture of impunity, the conflict victims have actively worked together with human rights activists and civil society organisations. In exploring different phases and forms of their activism, the chapter demonstrates that they have creatively utilised a wide variety of methods, including peaceful protests, sit-ins, non-cooperation, hunger strikes, as well as civil disobedience to demand justice and challenge laws and policies they consider unjust or discriminatory. The chapter concludes that even though the conflict victims have not been able to compel the state to fulfil its responsibilities in making the perpetrators of the conflict era accountable, they have succeeded in articulating their dissatisfaction clearly in the public arena while building important networks and alliances and gaining support also from the international community. It is also remarkable that despite the legacy of violence, the conflict victims, human rights activists, and civil society actors have continually chosen to pursue justice through the nonviolent approach.",,,SDG 2: Zero Hunger
0,Bhaba Datta Sapkota,State of Food Security and Hunger in Nepal,2022,European Journal of Nutrition &amp; Food Safety,Sciencedomain International,https://doi.org/10.9734/ejnfs/2022/v14i121278,,3,2025-05-25 11:30:37,journal-article,10.9734/ejnfs/2022/v14i121278,2347-5641,,,,14.0,23.0,0,0.0,0,1,3,"This paper aims to assess the current status and trend of food security and hunger in Nepal. Methodologically, the paper uses a descriptive research design; for this, secondary sources of data were intensively reviewed, and it draws an insightful conclusion from a variety of literature. Collected data were presented and interpreted using descriptive statistical tools such as tables, figures, percentages, and trend lines. The paper’s scope is limited to the Nepalese context. Professional ethics, a minimum similarity index, and authenticity in data have been taken as ethical considerations. Around half of the households (48.2 percent) have access to food security over the course of the year in Nepal. The urban area is more secure than the rural, and the position of the Terai region is better than that of the hill and mountain regions in terms of food security status. In terms of food security and severe food insecurity, Gandaki Province performed well, while Karnali Province performed poorly. The fight against hunger has mostly stagnated internationally in recent years. The GHI score for 2022 is moderate, although at 19.1, it only slightly deviates from the 16.4 score in 2014, the 20.8 score in 2019, and the 19.5 score in 2020. Nepal's global hunger index trend is shifting from a serious to a moderate position. This paper suggests exploring future food security strategies and reducing the intensity of hunger through further research. This study would stimulate public interest in policy advocacy, which might result in widespread favorable policy initiatives for more in-depth discussions and the implementation of development strategies in developing countries like Nepal.",https://journalejnfs.com/index.php/EJNFS/article/download/1278/2557,,SDG 2: Zero Hunger
1,Bal Krishna Joshi,Neglected Food Plants of Nepal,2023,Neglected Plant Foods Of South Asia,Springer International Publishing,https://doi.org/10.1007/978-3-031-37077-9_9,,4,2025-05-25 11:30:37,book-chapter,10.1007/978-3-031-37077-9_9,,,,,227.0,260.0,1,0.5,1,1,2,"Neglected and underutilized plant species have a potential to contribute to food security and poverty alleviation. Most plant species consumed as food across the world are neglected and underutilized. These includes plants with edible fruits, grains, leaves, nuts, oils, roots and tubers, fibers, medicines, spices, stimulants and their derived products. Until now, there was very limited information available on the utility of plants for different purposes in the study area. Thus, to minimize the gaps, the research was carried out at Bhadaure village of Kaski District, Nepal. Data were collected from the different sites through the application of Participatory Research Appraisal methods i.e. direct observation, household survey, individual interviews and key informant interview. This was followed by the field visit with the help of community members where collection of the plant samples and capturing of the photograph was done. Then each species was evaluated for nine parameters (extent of the production, extent of consumption, degree of consumption, perceived nutritional value, cultural importance, medicinal properties, market use, market value and contribution to household income). From the community interaction and field visit a list of 66 plants were extracted as underutilized plants in the study area. They were from various habitats. About 55% of the species were collected from natural or semi-natural vegetation, particularly forest. 33% of the plants were used for vegetable. The collection or harvesting period of the recorded plant were varies on the case of species. The availability of wild plants has also declined drastically. Young generation was not so much interested in these plants. Some of these plants were observed on market places being sold at competitive prices. Specific household members consume these plants. Commercialization of these fruits is mainly undertaken by the low resource base farmers.",https://link.springer.com/content/pdf/10.1007/978-3-031-37077-9_9,,SDG 2: Zero Hunger
1,"Elisabeth Horak, Alice Markl, Claudia Lama","Malnutrition in Children Under the Age of 5 Years in Humla District/Nepal, Observations From a Child Health Camp",2015,Journal of Hunger &amp; Environmental Nutrition,Informa UK Limited,https://doi.org/10.1080/19320248.2015.1004218,,6,2025-05-25 11:30:37,journal-article,10.1080/19320248.2015.1004218,1932-0248,,10.0,1.0,150.0,159.0,1,0.1,0,3,10,"Malnutrition affects a large proportion of children in Nepal. Humla belongs to the most remote and less developed districts of Nepal, with annual food deficits and limited access to health facilities. Adequate nutrition is necessary for normal development and an active life. Malnutrition interacts with childhood development and contributes to more than one third of all deaths in children under the age of 5. During a 3-week child health camp, 296 children and adolescents were examined and nutritional status was assessed by measuring mid–upper arm circumference in 165 children between 6 and 60 months of age. One in 5 children was found to be malnourished, and more girls than boys were affected (24% versus 14%), but the difference was not statistically significant (P = .16, Fisher’s exact test). Awareness raising and screening infants and young children for malnutrition by measuring mid–upper arm circumference is feasible even under difficult circumstances and would be a first step to prevent progression into severe acute or chronic malnutrition.",http://www.tandfonline.com/doi/pdf/10.1080/19320248.2015.1004218,,SDG 2: Zero Hunger
2,"Anup Uprety, Claire Leppold, Deepika Shrestha, Asaka Higuchi, Tetsuya Tanimoto",Hunger strike and health system reformation in Nepal,2016,The Lancet,Elsevier BV,https://doi.org/10.1016/s0140-6736(16)31864-5,,7,2025-05-25 11:30:37,journal-article,10.1016/s0140-6736(16)31864-5,0140-6736,,388.0,10055.0,1982.0,1983.0,2,0.22,0,5,9,,https://api.elsevier.com/content/article/PII:S0140673616318645,,SDG 2: Zero Hunger
22,"Shiva Bhandari, Megha Raj Banjara","Micronutrients Deficiency, a Hidden Hunger in Nepal: Prevalence, Causes, Consequences, and Solutions",2015,International Scholarly Research Notices,Wiley,https://doi.org/10.1155/2015/276469,,8,2025-05-25 11:30:37,journal-article,10.1155/2015/276469,2356-7872,,2015.0,,1.0,9.0,22,2.2,11,2,10,"Micronutrient deficiency is a global challenge to health as in Nepal. In Nepal, the targeted beneficiaries are less aware about importance of micronutrients (MNs), which has resulted in low intake of foods rich in MNs. Micronutrient deficiencies (MNDs) have huge impact on health of vulnerable population like women and children and have jeopardized the national economy and prosperity of developing countries including Nepal. However, less attention has been paid towards MNDs, which can be prevented. Therefore, this study aims to draw attention of the concerned authorities and researchers to combat against MNDs in Nepal. This study showed that different types of MNDs with higher prevalence exist in Nepal. The major causes of MNDs were poor diet, diseases and infestations, and poor health caring practices. The results of MNDs were unwanted child and maternal mortality, impairments of lives, and reduction in productivity and intellectual capacity. School health and nutrition education and supplementation and fortification of essential MNs proved to be effective while dietary diversification and economic growth and poverty eradication seemed promising. Control and prevention of MNDs can help to achieve Millennium Development Goals as well, so studies in this sector should be emphasized.",http://downloads.hindawi.com/archive/2015/276469.pdf,,SDG 2: Zero Hunger
11,"Mohammad Ali, Kira M. Villa, Janak Joshi",Health and hunger: nutrient response to income depending on caloric availability in Nepal,2018,Agricultural Economics,Wiley,https://doi.org/10.1111/agec.12446,,9,2025-05-25 11:30:37,journal-article,10.1111/agec.12446,0169-5150,,49.0,5.0,611.0,621.0,11,1.57,4,3,7,"Abstract: Using data from NLSS III, we estimate nutrient‐income elasticities for macronutrients, vitamins, and minerals. We further allow for differential nutrient demand response to income depending on where a household is in the caloric availability distribution. We find that some nutrients are income inelastic indicating that they are necessity goods while others are relatively income elastic. We further test and reject equivalent nutrient‐income elasticities across the caloric availability distribution. Households in the lowest calorie quintile have highly income elastic nutrient demand leaving them vulnerable to income fluctuations. Moreover, as households meet their first‐order caloric needs, they substitute away from cheap calorie‐dense staples toward more expensive nutrient‐dense foods. Finally, for most nutrients, households in the highest calorie quintile exhibit more elastic nutrient demand, similar to households in the lowest quintile. Our results suggest that policies aimed at improving income will likely also improve household nutrient availability, particularly for the most calorie poor households. They further suggest that policies aimed at protecting poor households from negative income shocks will also likely yield nutritional benefits.",https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fagec.12446,,SDG 2: Zero Hunger
19,"Veeshan Rayamajhee, Alok K. Bohara",Do voluntary associations reduce hunger? An empirical exploration of the social capital- food security nexus among food impoverished households in western Nepal,2019,Food Security,Springer Science and Business Media LLC,https://doi.org/10.1007/s12571-019-00907-0,,13,2025-05-25 11:30:37,journal-article,10.1007/s12571-019-00907-0,1876-4517,,11.0,2.0,405.0,415.0,19,3.17,10,2,6,,http://link.springer.com/content/pdf/10.1007/s12571-019-00907-0.pdf,,SDG 2: Zero Hunger
1,"Krishna Dhakal, Amar Bahadur Pun Magar, Keshab Raj Pokhrel, Bandhu Raj Baral, Abdurahman Beshir, Hari Kumar Shrestha, Shree Prasad Vista",Zinc and Provitamin A Biofortified Maize Genotypes Exhibited Potent to Reduce Hidden—Hunger in Nepal,2022,Plants,MDPI AG,https://doi.org/10.3390/plants11212898,,20,2025-05-25 11:30:37,journal-article,10.3390/plants11212898,2223-7747,,11.0,21.0,2898.0,2898.0,1,0.33,0,7,3,"Zinc deficiency affects one third of the population worldwide, and vitamin A deficiency is a prevalent public health issue in Sub-Saharan Africa and South-Asia, including Nepal. Crop biofortification is the sustainable solution to these health—related problems, thus we conducted two different field trials in an alpha lattice design to identify zinc and provitamin A biofortified maize genotypes consistent and competitive in performance over the contrasting seasons (Season 1: 18 February to 6 July 2020 and Season 2: 31 August to 1 February, 2020/21). In our study, the performance of introduced maize genotypes (zinc—15 and provitamin A biofortified—24) were compared with that of the local check, focusing on the overall agro-morphology, yield attributes, yield, and kernel zinc and total carotenoid content. Zinc and total carotenoid in the tested genotypes were found in the range between 14.2 and 24.8 mg kg−1 and between 1.8 and 3.6 mg 100 g−1. Genotypes A1831-8 from zinc and EEPVAH-46 from provitamin A biofortified maize trial recorded kernel zinc and total carotenoid as high as 52.3, and 79.5%, respectively, compared to the local check (DMH849). The provitamin A genotypes EEPVAH-46 and EEPVAH-51 (total carotenoid: 3.6 and 3.3 mg 100 g−1), and zinc biofortified genotypes A1847-10 and A1803-42 (20.4 and 22.4 mg kg−1 zinc) were identified as superior genotypes based on their yield consistency over the environments and higher provitamin A and zinc content compared to the check. In addition, farmers can explore August sowing to harvest green cobs during December-January to boost up the emerging green cob business.",https://www.mdpi.com/2223-7747/11/21/2898/pdf,,SDG 2: Zero Hunger
