Topic,Count,Name,Representation,Representative_Docs
-1,1335,-1_vegetable_production_water_nepal,"['vegetable', 'production', 'water', 'nepal', 'farmer', 'food', 'health', 'sterilization', 'urban', 'poverty']","['commercial vegetable farming constraint opportunity farmer kirtipur nepal vegetable farming one alternative source earning livelihood becoming important agricultural practice income generation employment opportunity paper aim analyze constraint opportunity vegetable farmer kirtipur altogether farm household survey conducted four major area kirtipur total key informant interview kii also conducted understand perception farm household commercial vegetable farming result show around total sampled farm household leasehold farmland spread different settlement kirtipur municipality total leasehold farmer written agreement landowner result also show farmer cultivate vegetable average area ropani tomato solanum lycopersicum mushroom agaricus bisporus primary vegetable product whereas cauliflower brassica oleracea green leafy vegetable mostly cultivated secondary vegetable product dug well major source irrigation vegetable farmland total sampled farm household farmer associated farmer group basic training vegetable farming majority farmer saving vegetable production marketing despite constraint like price fluctuation high middleman margin vegetable farming kirtipur many opportunity particularly major source income livelihood selfemployment generation growing market demand opportunity commercial vegetable farming continuously attracted farmer kirtipur however existing constraint deprived farmer expected return therefore paper recommends portray possible option promote opportunity overcome existing constraint retain commercial vegetable farming sustainable source farm household kirtipur', 'commercial vegetable farming constraint opportunity farmer kirtipur nepal vegetable farming one alternative source earning livelihood becoming important agricultural practice income generation employment opportunity paper aim analyze constraint opportunity vegetable farmer kirtipur altogether farm household survey conducted four major area kirtipur total key informant interview kii also conducted understand perception farm household commercial vegetable farming result show around total sampled farm household leasehold farmland spread different settlement kirtipur municipality total leasehold farmer written agreement landowner result also show farmer cultivate vegetable average area ropani tomato solanum lycopersicum mushroom agaricus bisporus primary vegetable product whereas cauliflower brassica oleracea green leafy vegetable mostly cultivated secondary vegetable product dug well major source irrigation vegetable farmland total sampled farm household farmer associated farmer group basic training vegetable farming majority farmer saving vegetable production marketing despite constraint like price fluctuation high middleman margin vegetable farming kirtipur many opportunity particularly major source income livelihood selfemployment generation growing market demand opportunity commercial vegetable farming continuously attracted farmer kirtipur however existing constraint deprived farmer expected return therefore paper recommends portray possible option promote opportunity overcome existing constraint retain commercial vegetable farming sustainable source farm household kirtipur', 'commercial vegetable farming constraint opportunity farmer kirtipur nepal vegetable farming one alternative source earning livelihood becoming important agricultural practice income generation employment opportunity paper aim analyze constraint opportunity vegetable farmer kirtipur altogether farm household survey conducted four major area kirtipur total key informant interview kii also conducted understand perception farm household commercial vegetable farming result show around total sampled farm household leasehold farmland spread different settlement kirtipur municipality total leasehold farmer written agreement landowner result also show farmer cultivate vegetable average area ropani tomato solanum lycopersicum mushroom agaricus bisporus primary vegetable product whereas cauliflower brassica oleracea green leafy vegetable mostly cultivated secondary vegetable product dug well major source irrigation vegetable farmland total sampled farm household farmer associated farmer group basic training vegetable farming majority farmer saving vegetable production marketing despite constraint like price fluctuation high middleman margin vegetable farming kirtipur many opportunity particularly major source income livelihood selfemployment generation growing market demand opportunity commercial vegetable farming continuously attracted farmer kirtipur however existing constraint deprived farmer expected return therefore paper recommends portray possible option promote opportunity overcome existing constraint retain commercial vegetable farming sustainable source farm household kirtipur']"
0,271,0_gender_woman_equality_womens,"['gender', 'woman', 'equality', 'womens', 'violence', 'discrimination', 'empowerment', 'inequality', 'employment', 'political']","['tradition ritual policy gender discrimination nepal research investigates impact cultural tradition gender discrimination nepal particularly lens sexselective abortion despite progress deeply rooted cultural practice continue influence policymaking implementation especially regarding gender issue traditional custom persistently shape childbirth practice educational opportunity basic right perpetuating gender discrimination study examines entrenched cultural norm support hinder advancement gender equality nepal focusing interaction cultural tradition genderrelated policy research explores custom affect birthing practice healthcare policy also analyzes cultural norm dictate educational expectation woman girl evaluates broader implication gender right study highlight ritualistic childbirth practice genderspecific educational expectation create disparity challenge effectiveness gender equality initiative recent reform cultural shift nepal reflect effort address gender imbalance study emphasizes need policy framework respect cultural tradition promoting gender equality integrating primary qualitative data secondary source using descriptive analytical method research provides comprehensive view challenge opportunity aligning tradition modern gender equality goal ultimately study advocate ongoing reform cultural adaptation effectively combat gender discrimination ensure equal right individual nepal underscore importance developing policy acknowledge integrate cultural context striving genuine gender equality', 'gender equality higher education workforce nepal article focus challenge achieving gender quality led gender well workforce higher education sector nepal wellbeing gender refers overall health quality life seen gender perspective includes physical mental health qualityoflife perspective includes social psychological cultural political environmental aspect principle say everyone regard less gender treated fairly equally aspect life includes equal access highquality education employment opportunity role politics social life addition gender equality education mean ensuring men woman marginalized community lgbtqi equal opportunity obtain high quality education without facing barrier discrimination similarly gender equality employment requires men woman marginalized community lgbtqi receive equal opportunity work receive equal pay progress career regardless gender gender equality politics aim ensure men woman right involved contribute political process decisionmaking involvement woman employment must consider implementation strategy regard less gender must fair offering employment previously woman employment sector quite marginalized current state national development research method used qualitative study us document content analysis using secondary data namely journal scholarly writing library research previous research previous researcher study found challenge woman face become leader higher education sector including prejudice stereotype womens ability genderbased pay disparity occupational segregation worklife balance', 'gender empowerment equality nepal current analysis research explored role opportunity decisionmaking process responsibility various issue related gender status woman society compare woman male counterpart across several area including household duty economic condition education health political engagement community decisionmaking main aim perform contemporary situational analysis womens empowerment rural development utilizing primary secondary data focus gender inequality socioeconomic factor political involvement demographic trend main finding highlighted woman journey towards empowerment require substantial support family community nation faced significant barrier accessing opportunity income generation employment decisionmaking role property ownership participation political process majority woman primarily engaged household duty contributing lower socioeconomic status research seek improve status woman study area highlighting importance government policy program include woman development effort addressing challenge empowerment become crucial improving womens life also fostering economic development within community country large apart aforementioned suggestion constitutional legal framework national plan policy quota representation education health economic empowerment combatting genderbased violence cultural social change education awareness found policy adopted gender empowerment equality present condition nepal despite policy challenge patriarchal norm economic disparity implementation gap persist continued effort needed ensure effective enforcement law address cultural barrier achieve substantive gender equality nepal likewise legal policy framework economic empowerment political participation healthcare reproductive right combat genderbased violence medium communication community engagement partnership data collection research monitoring evaluation identified way gender empowerment equality present context nepal implementing strategy requires commitment collaboration across government civil society private sector international partner achieving gender equality longterm endeavor necessitates ongoing effort investment across various sector simultaneouslyp ppstrong article visualizationsstrongppimg srccounterssocaphp althit counter p']"
1,92,1_maternal_health_newborn_facility,"['maternal', 'health', 'newborn', 'facility', 'service', 'care', 'child', 'demographic', 'survival', 'survey']","['maternal newborn health service federal system nepal maternal health health status woman pregnancy childbirth postpartum period combine health care dimension family planning preconception prenatal care postnatal care vital reduce maternal newborn morbidity mortality regard government nepal adopted two key strategy improve maternal health ensuring selected health facility emergency obstetric care service available hour day presence health personnel midwifery skill competently provide safe effective delivery care context three level government namely federal provincial local government providing maternal neonatal health service keywords level care maternal health skilled health professional service site', 'maternal newborn health service federal system nepal maternal health health status woman pregnancy childbirth postpartum period combine health care dimension family planning preconception prenatal care postnatal care vital reduce maternal newborn morbidity mortality regard government nepal adopted two key strategy improve maternal health ensuring selected health facility emergency obstetric care service available hour day presence health personnel midwifery skill competently provide safe effective delivery care context three level government namely federal provincial local government providing maternal neonatal health service keywords level care maternal health skilled health professional service site', 'maternal newborn health service federal system nepal maternal health health status woman pregnancy childbirth postpartum period combine health care dimension family planning preconception prenatal care postnatal care vital reduce maternal newborn morbidity mortality regard government nepal adopted two key strategy improve maternal health ensuring selected health facility emergency obstetric care service available hour day presence health personnel midwifery skill competently provide safe effective delivery care context three level government namely federal provincial local government providing maternal neonatal health service keywords level care maternal health skilled health professional service site']"
2,88,2_climate_change_vulnerability_thermal,"['climate', 'change', 'vulnerability', 'thermal', 'adaptation', 'perception', 'impact', 'anticipated', 'effect', 'shifting']","['climate change health vulnerability nepal systematic review literature since vulnerable health impact climate change health effect climate change nepal identify knowledge gap examining vulnerability category related health', 'student awareness towards climate change study climate change effect human health nepal climate change impact human health awareness constitute set complex serious consequence tackled individual country merely environmental issue also threat go beyond national border purpose study assess awareness effect climate change human health among secondary level student biratnagar research design descriptive crosssectional data collected sample census method using semistructured selfadministered questionnaire among respondent knew climate change prevented moreover perceived climate change unbreakable process perceived climate change cause new disease concerned preventing effect climate change human health among respondent adequate awareness study concluded half secondary level student inadequate level awareness effect climate change human health biratnagar recommended awareness increased involving project work activity reinforcing component curriculum', 'effect climate change nepal policy']"
3,81,3_parthenium_greater_lion_looking,"['parthenium', 'greater', 'lion', 'looking', 'weed', 'liberia', 'nepal', 'prospect', 'beautiful', 'challenge']","['parthenium weed nepal', 'parthenium weed nepal', 'parthenium weed nepal']"
4,67,4_covid_pandemic_lockdown_healthcare,"['covid', 'pandemic', 'lockdown', 'healthcare', 'csr', 'measure', 'worker', 'coronavirus', 'provider', 'protective']","['perceived risk ramification covid pandemic community healthcare provider nepal background covid pandemic inflicted real suffering many part world expected impact different sector lockdown considered effective measure slowing spread coronavirus study expects understand community healthcare provider perspective covid pandemic response lockdown nepal method material data collected telephone interview six representative communitybased organization nine healthcare provider collation information covid social medium news outlet government announcement data thematically coded analyzed according theme result although rapid dissemination educational information various social medium found people reported information overload covid questioning authenticity source several misbeliefs covid virus rooted nepalese community lockdown longer period deemed unsustainable preventive measure directly impacted income source dailywage worker fear contracting coronavirus among healthcare provider workplace triggered poor working condition nonavailability personal protective equipment ppe fighting pandemic screening management health issue ignored conclusion prevention measure covid important local context however community need access basic commodity access reliable information enable follow measure availability appropriate ppe healthcare provider required reduce fear contracting virus patient workplace essential healthcare service must also continued help reduce excess mortality morbidity keywords covid perception healthcare provider nepal', 'perceived risk ramification covid pandemic community healthcare provider nepal background covid pandemic inflicted real suffering many part world expected impact different sector lockdown considered effective measure slowing spread coronavirus study expects understand community healthcare provider perspective covid pandemic response lockdown nepal method material data collected telephone interview six representative communitybased organization nine healthcare provider collation information covid social medium news outlet government announcement data thematically coded analyzed according theme result although rapid dissemination educational information various social medium found people reported information overload covid questioning authenticity source several misbeliefs covid virus rooted nepalese community lockdown longer period deemed unsustainable preventive measure directly impacted income source dailywage worker fear contracting coronavirus among healthcare provider workplace triggered poor working condition nonavailability personal protective equipment ppe fighting pandemic screening management health issue ignored conclusion prevention measure covid important local context however community need access basic commodity access reliable information enable follow measure availability appropriate ppe healthcare provider required reduce fear contracting virus patient workplace essential healthcare service must also continued help reduce excess mortality morbidity keywords covid perception healthcare provider nepal', 'perceived risk ramification covid pandemic community healthcare provider nepal background covid pandemic inflicted real suffering many part world expected impact different sector lockdown considered effective measure slowing spread coronavirus study expects understand community healthcare provider perspective covid pandemic response lockdown nepal method material data collected telephone interview six representative communitybased organization nine healthcare provider collation information covid social medium news outlet government announcement data thematically coded analyzed according theme result although rapid dissemination educational information various social medium found people reported information overload covid questioning authenticity source several misbeliefs covid virus rooted nepalese community lockdown longer period deemed unsustainable preventive measure directly impacted income source dailywage worker fear contracting coronavirus among healthcare provider workplace triggered poor working condition nonavailability personal protective equipment ppe fighting pandemic screening management health issue ignored conclusion prevention measure covid important local context however community need access basic commodity access reliable information enable follow measure availability appropriate ppe healthcare provider required reduce fear contracting virus patient workplace essential healthcare service must also continued help reduce excess mortality morbidity keywords covid perception healthcare provider nepal']"
5,65,5_poverty_alleviation_vicious_reduction,"['poverty', 'alleviation', 'vicious', 'reduction', 'alleviate', 'line', 'kawasati', 'provincial', 'nepal', 'globalization']","['analysis poverty profile type house household nepal fgt poverty index index proposed foster poverty incidence poverty gap severity poverty nepal reveals sample household live poverty', 'economic planning poverty alleviation strategy nepal general objective article examine poverty situation look poverty alleviate poverty nepal article also observed poverty alleviation initiative', 'measure distribution decomposition poverty empirical analysis nepal poverty gap poverty severity nepal respectively poverty measure rural area higher urban area incidence poverty']"
6,64,6_ecosystem_service_panda_interfaceincentivizing,"['ecosystem', 'service', 'panda', 'interfaceincentivizing', 'incentive', 'forest', 'municipal', 'ecosystembased', 'habitat', 'red']","['research policy interfaceincentivizing community ecosystem service nepal november kathmandu nepal workshop report', 'research policy interfaceincentivizing community ecosystem service nepal november kathmandu nepal workshop report', 'incentive ecosystem community possible incentive mechanism mid hill nepal payment ecosystem service pe one instrument increasingly used recognized tool sustaining ecosystem service flow contributing local livelihood resource dependent community described free marketbased approach conservation ecosystem service consumer pay producersmanagers however true pe based free market either difficult establish hardly existed practice several argument resonance purely marketbased pe scheme commoditize ecosystem nature neoliberalism necessarily benefit poor study hindu kush himalaya thus suggests shift purely marketbased mechanism incentivebased mechanism ensuring long term benefit local mountain community rewarding effort managing restoring ecosystem also argue concept pe well integrated policy instrument could effectively ensure continued supply ecosystem good service nepal himalaya']"
7,61,7_urban_datum_space_land,"['urban', 'datum', 'space', 'land', 'fragmentation', 'geodetic', 'municipality', 'parcel', 'urbanization', 'transformation']","['pathway magnitude change driver public open space pokhara metropolitan city nepal public open space po known production space integral part urban area pathway change po directly related urbanization process several factor play vital role creating open space satisfy people physical mental desire paper discusses pathway magnitude change po driver study based detailed study sampled site total site identified pokhara metropolitan city interview key informant concerned site result show uniform trend change open space area remained constant site whereas decreased site also increased site total percent patch remained constant term area whereas percent patch decreased increased percent patch period net decrease hector area total increase percent attributed mainly land pooling individual ownership whereas decrease mainly due encroachment individual people well construction public infrastructure especially expansion road change observed limited change area also layout using pattern natural socioeconomic factor including government policy found responsible change one hand natural process like sedimentation landslide flood vegetation regeneration cutting edge hand government policy development infrastructure facility rapid increase urban area consequent increase land value lack awareness importance open space among local people including local government responsible change', 'pathway magnitude change driver public open space pokhara metropolitan city nepal public open space po known production space integral part urban area pathway change po directly related urbanization process several factor play vital role creating open space satisfy people physical mental desire paper discusses pathway magnitude change po driver study based detailed study sampled site total site identified pokhara metropolitan city interview key informant concerned site result show uniform trend change open space area remained constant site whereas decreased site also increased site total percent patch remained constant term area whereas percent patch decreased increased percent patch period net decrease hector area total increase percent attributed mainly land pooling individual ownership whereas decrease mainly due encroachment individual people well construction public infrastructure especially expansion road change observed limited change area also layout using pattern natural socioeconomic factor including government policy found responsible change one hand natural process like sedimentation landslide flood vegetation regeneration cutting edge hand government policy development infrastructure facility rapid increase urban area consequent increase land value lack awareness importance open space among local people including local government responsible change', 'pathway magnitude change driver public open space pokhara metropolitan city nepal public open space po known production space integral part urban area pathway change po directly related urbanization process several factor play vital role creating open space satisfy people physical mental desire paper discusses pathway magnitude change po driver study based detailed study sampled site total site identified pokhara metropolitan city interview key informant concerned site result show uniform trend change open space area remained constant site whereas decreased site also increased site total percent patch remained constant term area whereas percent patch decreased increased percent patch period net decrease hector area total increase percent attributed mainly land pooling individual ownership whereas decrease mainly due encroachment individual people well construction public infrastructure especially expansion road change observed limited change area also layout using pattern natural socioeconomic factor including government policy found responsible change one hand natural process like sedimentation landslide flood vegetation regeneration cutting edge hand government policy development infrastructure facility rapid increase urban area consequent increase land value lack awareness importance open space among local people including local government responsible change']"
8,53,8_marketing_economics_beekeeping_production,"['marketing', 'economics', 'beekeeping', 'production', 'citrus', 'text', 'honey', 'mandarin', 'full', 'chitwan']","['economics apple marketing mustang district nepal available full text', 'economics apple marketing mustang district nepal available full text', 'economics apple marketing mustang district nepal available full text']"
